CondId	默认激活	通知客户端	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	[条件]5类型	[条件]5参数	[生效执行]1类型	[生效执行]1参数	[生效执行]2类型	[生效执行]2参数	[生效执行]3类型	[生效执行]3参数	[生效执行]4类型	[生效执行]4参数	[生效执行]5类型	[生效执行]5参数	[失效执行]1类型	[失效执行]1参数	[失效执行]2类型	[失效执行]2参数	[失效执行]3类型	[失效执行]3参数	[失效执行]4类型	[失效执行]4参数	[失效执行]5类型	[失效执行]5参数
5033027	0		2	12	21	4	4001103							3	7901401									4	79014								
5033028	0		2	12	21	4	4001103							3	7901501									4	79015								
5033029	1		1	12	1	4	7900105							17	133001004									18	133001004								
5033030	1		1	12	1	13	45							60	4,28,29,30									61	4,28,29,30								
5033031	0		2	12	21	4	4001103							61	4,28,29,30	59	5033030,否																
5033032	1		1	12	1	4	7900504							3	7901601									4	79016								
5033033	0		2	12	21	4	4001103							17	144001117,144002037,144003018,144004059									18	144001117,144002037,144003018,144004059								
5033034	1		1	12	21	13	45							3	7900801									4	79008								
5033035	1		1	12	21	13	45							3	7901701	17	144004134							4	79017	18	144004134						
5032001	1	1	1	12	1	13	11							3	7900701									4	79007								
5032002	1		1	12	1	13	11							55	1																		
5032009	1		1	12	1	13	11	4	7900706					1	25,4									2	25,4								
5032003	1		1	12	3	13	11							55	2																		
5032004	1		1	12	5	13	11							55	3																		
5032005	1		1	12	11									56																			
5032006	1		1	12	1	13	11							17	144003052									18	144003052								
5032007	1		1	12	1	13	11	4	7900704					59	5032006,否	17	144003005							18	144003005								
5032008	1		1	12	7	13	11							47	24																		
