图鉴ID	类型	怪物ID	见到即解锁	序号	已废弃	解锁才显示	描述$text_name_Desc
28020301	0	28020301		11005			提瓦特大陆上最活跃的住民之一，广泛活跃于各地的郊野。\n繁殖能力强、性情倔强的野生动物。由于生存能力极为顽强，在各种林地与荒野都能见到它们的身影。林猪的肉质鲜美而有韧性，是许多佳肴的食材。此外，以林猪为主角的传说故事也在提瓦特大陆流传广远。\n根据马斯克家族的观察，似乎有一些丘丘人部族试图圈养野林猪，推测是希望训练后作为坐骑使用。
28020302	0	28020302		11006	1		（test）待IP补充
28020303	0	28020303		11007			寒冷地带生活的野林猪，比温暖地带的同类拥有更厚实的皮毛。\n根据记载，这种猪倔强地生存在风霜中，在缺少天敌的环境中茁壮发展着自身的族群。传说这种雪猪可以非常长寿，而活得足够长的雪猪会在漫长的生存斗争中生长得格外巨大。\n但这一物种已经在数百年前灭绝了——人们原本是这么认为的，但随着对龙脊雪山探索的深入，冒险家似乎发现了新的生态样本…
28020304	0	28020304		11008			生活在冰雪之中，等待着被冰封的同族们复苏的「王者」。\n在无比遥远的过去，荒野的猎人中间流传着这样的传说：当人迹尽没的冰封之境恢复生机，当不速之客搅扰冰穴的安宁，带领雪猪的族群走向壮大的传奇「君王」便会从沉睡中苏醒，抖掉身上积压的冰雪，将那不懂礼数的客人好生教训一顿。
28020401	0	28020401	1	11009			人类最好的朋友！\n原产于遥远北地的犬类，生着灰白色的厚实皮毛。十分耐寒、性情活泼憨厚。强烈不建议把它们与松鼠单独关在同一个房间。
28020402	0	28020402	1	11010			人类最好的朋友！\n起初是作为山林猎人的搭档而被人类驯养的，但在平淡而忙碌的城市生活中，也能够称职地完成看家护院的工作。是温顺而敏锐的犬类，对小孩子十分友好。
28020403	0	28020403	1	11011			人类最好的朋友！\n传说是稻妻的将军曾经宠爱的犬类，随着一度兴盛的商业航道而走遍提瓦特七国，成为了提瓦特大陆上最受欢迎的宠物犬之一。脾气温柔忠厚，头脑聪明，尤其擅长看家护院与陪伴家人。传说在稻妻依然生活着将这种犬类训练成「忍犬」的神秘忍者。
28020404	0	28020404	1	11012			人类最好的朋友！\n传说是古代蒙德贵族精心配种培育的昂贵猎犬之后代，如今在提瓦特大陆七国皆有分布。虽然拥有高贵的祖先，但如今的黑背猎犬以忠诚可靠和平易近人闻名。旧时代高傲跋扈的骑士如今被谦逊热心的西风骑士取代，或许也是同样的道理吧。
28020501	0	28020501	1	11013			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n这种通体纯白的猫咪因蓝宝石般闪亮的眼睛而闻名。但值得一提的是，尽管蓝宝石生得贵雅可爱，脾气却很差。与它们相处的话一定要注意随时备好小鱼干与外伤敷药。
28020502	0	28020502	1	11014			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n拥有翠绿双目的灰色猫咪，夜晚在房梁上行走的样子十分优雅。但还请不要被它们贵族般的举止欺骗了，这些小贼最擅长从商铺和后厨偷窃鲜鱼。
28020503	0	28020503	1	11015			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n「妈妈快看，那个咪咪好像一坨脏脏雪！」这种调皮猫咪的名字正是来自一个顽童的言语冒犯。灰雪猫是一种非常活泼的猫咪，各种场地都能成为它们嬉戏打闹的战场，倒是苦了那些总要给它们洗澡的主人。
28020504	0	28020504	1	11016			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n全身皮毛以灰白为底色、黑色条纹为辅的优雅猫咪。生自遥远的北地，以性情温顺、亲近人类闻名。
28020505	0	28020505	1	11017			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n生得虎虎威风，是十分聪明且好斗的猫咪。擅长向人类撒娇、与同类争斗的它们总能得到更多的食物，因此可以胖得很快。但与人类不同的是，它们即使身材胖大，也依旧很能讨人喜欢。
28020506	0	28020506	1	11018			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n谨慎而机警的猫咪，是猫咪中天生的精湛猎手。由于经常被人类赋予看守仓库防备鼠辈的重任，因而被称为「警长」。尽管猫咪是本性自由自在的动物，但这些「警长」对于捕鼠的职责似乎更加上心。顺带一提，璃月人会亲切地称之为「猫咪捕头」，以之为主题的童书与玩具也颇受璃月的孩子们欢迎。
28020507	0	28020507	1	11019			灵巧而富有智慧的生灵，抱持着与生俱来的优雅与骄傲。\n纯黑毛色的神秘过客，时常隐身于一片黑暗中发出呼噜呼噜的声音，或者令黑色的地毯凭空生出两只金色的大眼睛。对于某些学者来说，纯黑色的猫咪象征着神秘学、魔法与深远的预兆，因此格外招人喜爱。
28020601	0	28020601		11020			身材细长灵巧、钟爱恶作剧的捣蛋鬼。\n隐藏在雪原洞穴中，来去如风的鼬鼠，擅长捕食昆虫与蜥蜴，面对个头比自己稍大的动物也不会畏惧。由于可爱的外貌，时常有人试图捕捉它们作为宠物饲养，但它们天生热爱自由，很难乖乖地接受被拘束在人类温暖家门内的命运。
28020602	0	28020602		11021			身材细长灵巧、钟爱恶作剧的捣蛋鬼。\n通体赤红的鼬鼠，擅长捕食昆虫与蜥蜴。身上赤红的颜色十分显眼，由于红尾鼬的和火元素色彩相称，许多惧怕烧灼的捕食者会敬而远之。
28020603	0	28020603		11022			身材细长灵巧、钟爱恶作剧的捣蛋鬼。\n因为四肢的深色毛发看似长靴而得名。靴子鼬性情较其他同类更加胆小谨慎，其蹑手蹑脚的动作反过来正加深了「穿靴子的鼬」的印象。因此，提瓦特大陆的居民们多有关于这些贼头贼脑的小动物的奇妙传说。
28050201	0	28050201		11024			神出鬼没的怪盗，盗窃宝物仅仅出于纯粹的天性。\n没有人知道究竟怎样异想天开的家伙训练出了这群盗窃成癖的小动物。盗宝鼬会四处偷窃收集摩拉——无论是远来旅客随身的零钱、冒险家的盘缠，还是遗迹内散落的财宝，都逃不过它们的眼睛。\n虽然从现实中缴获的新手盗宝鼬钱袋的情况而言，恐怕只能收集到旅人落下的零钱吧…
28050202	0	28050202		11025			神出鬼没的怪盗，盗窃宝物仅仅出于纯粹的天性。\n身上背负着华丽钱袋的盗宝鼬，作为盗宝鼬种群中的长者，它们寻找财宝与躲避追猎的本领更加精湛。甚至还会在游戏中将技巧「教授」给群落内的晚辈们。身为更有经验的「盗贼」，它们收集到的摩拉也更加丰厚。\n虽然从缴获的藏金盗宝鼬钱袋的情况而言，恐怕也没有丰厚到哪里去吧…
28050203	0	28050203		11026			神出鬼没的怪盗，盗窃宝物仅仅出于纯粹的天性。\n「大黄金盗宝鼬」是盗宝鼬中，技艺最为精湛、数量最为稀少的「神偷」。\n据说盗宝鼬是盗宝团当中的某人突发奇想，将野生的鼬鼠训练成的「盗宝团正式成员」。\n因为没有实际的记录，所以上述传说是否属实也未可知。不过，缴获的钱袋来看，即使传说属实，盗宝团也不可能通过盗宝鼬积累多少财富吧…
28040101	0	28040101		12001			各处的水域中都十分常见的鱼类。肉质肥美，是提瓦特各种美食中的鱼肉的主要来源。\n黑背鲈鱼是提瓦特大陆各水系最常见的鱼类之一，据说背鳞的颜色越深，其年龄便越大，有经验的渔夫总能通过鱼鳞的色泽分辨出最优质的渔获。
28040102	0	28040102		12002			各处的水域中都十分常见的鱼类。肉质肥美，是提瓦特各种美食中的鱼肉的主要来源。\n蓝鳍鲈鱼的肉质相比黑背鲈鱼而言更加绵软，更受追求细腻口感的食客欢迎。
28040103	0	28040103		12003			各处的水域中都十分常见的鱼类。肉质肥美，是提瓦特各种美食中的鱼肉的主要来源。\n黄金色鱼鳞的鲈鱼相对黑背鲈鱼、蓝鳍鲈鱼少见得多，据说能够为渔夫带来好运。\n在璃月港的街市中，曾有人兜售黄金鲈鱼纹样的祈福卡片与护身符。过去，在稻妻也有人将海平线上波光粼粼的夕照形容为黄金鲈鱼在空中遨游的模样。
28050101	0	28050101		13001			空气中飘荡不定的风元素微粒聚合而成的纯粹元素生命，同蛱蝶一般悠游。\n闪光的风元素生物，是元素上升凝合而成的产物，以无处不在的风元素维生。\n传说蝴蝶的振翅有着掀起风暴的力量。
28050103	0	28050103		13003			空气中飘荡不定的冰元素微粒聚合而成的纯粹元素生命，同蛱蝶一般悠游。\n闪光的冰元素生物，是元素上升凝合而成的产物，以飞散在霜雾中的冰元素维生。\n尽管无比脆弱，却能在风雪的簇拥下起舞。尽管本身完全无害，却昭示着霜雪降临，万物沉寂。
28050102	0	28050102		13004			空气中飘荡不定的岩元素微粒聚合而成的纯粹元素生命，同蛱蝶一般悠游。\n闪光的岩元素生物，是元素上升凝合而成的产物，以无处不在的岩元素维生。\n在难以尽览的万古中，即使是磐岩也会做梦。据说岩晶凝成的飞蝶正是嵯峨山石之梦。
28010205	0	28010205		13012			传说中能够吐出宝玉的淡水两栖动物，多分布在水源清澈、苇草高耸的地方，譬如璃月的荻花洲。\n传说金色鳅鳅是河流的宠儿。或许也正是因为受着河流温柔的爱抚摇荡，它们才总是保持着天真的笑容吧。\n会将无法吸收、消化的元素、砂砾、矿物质在体内凝结成闪闪发亮的珠子，并在遇到天敌时吐出，以迷惑掠食者。
28010301	0	28010301		13014			常在湿地出没的小小青蛙。\n潮湿地带十分常见的小动物，身上会分泌奇特的粘液，具有多种药用用途。
28010302	0	28010302		13015			常在湿地出没的小小青蛙。\n潮湿地带十分常见的小动物，身上会分泌奇特的粘液，拥有多种药用用途。相比青蛙，黄色的泥蛙更容易在潮湿的岸边隐藏自己。\n据说枫丹人会形容难以捉拿的贼匪，或者逃过审判的恶人为「黄油里的泥蛙」。
28010303	0	28010303		13016			常在湿地出没的小小青蛙。\n潮湿地带十分常见的小动物，身上会分泌奇特的粘液，拥有多种药用用途。蓝蛙更适应水质纯净的水域。\n根据观察，各种蛙类在体表的粘液干涸后，皮肤往往会变成青绿色。目前推断是为了节约体内的水分，外皮发生了某种变化导致的。
28010101	0	28010101		13017			张牙舞爪的蟹类，遍布提瓦特各水系。\n外壳呈黄金色的螃蟹尤其美味，是璃月名菜「黄金蟹」的首选食材。\n有的人会将横行无忌的人形容为「螃蟹」，但事实上螃蟹的行动方式是基于它的生理结构，而不是出于性格。这种形容对螃蟹而言十分不公平。
28010102	0	28010102		13018			张牙舞爪的蟹类，遍布提瓦特各水系。\n此种螃蟹的外壳呈现着漂亮的红色调渐变色，完美地映出了太阳光照的层次，煮熟后尤其好看。
28010103	0	28010103		13019			张牙舞爪的蟹类，遍布提瓦特各水系。\n其外壳呈蓝灰色的蟹类。性情比色彩鲜艳的同族更温顺，更不易被激怒。但其钳足也更加有力，被夹到的话会很痛。
28010201	0	28010201		13022			头上生有尖角的小蜥蜴，时常出没在阴影遮盖的草丛中。\n拥有漂亮蓝色鳞片的角蜥，在被捉住时会断尾逃生。\n蜥蜴尾巴在风干磨成粉后有特殊的药用功效，一些疯狂的炼金术士甚至开发出了将之加工成爆炸物催化剂的技术。\n脱离了身体后的尾巴会在一段时间后失去生命力，蜷曲起来，并且出于不明原因，变成明亮的绿色。
28010202	0	28010202		13023			头上生有尖角的小蜥蜴，时常出没在阴影遮盖的草丛中。\n拥有漂亮红色鳞片的角蜥，在被捉住时会断尾逃生。\n蜥蜴尾巴在风干磨成粉后有特殊的药用功效，一些疯狂的炼金术士甚至开发出了将之加工成爆炸物催化剂的技术。\n脱离了身体后的尾巴会在一段时间后失去生命力，蜷曲起来，并且出于不明原因，变成明亮的绿色。
28010203	0	28010203		13024			头上生有尖角的小蜥蜴，时常出没在阴影遮盖的草丛中。\n拥有漂亮绿色鳞片的角蜥，在被捉住时会断尾逃生。\n蜥蜴尾巴在风干磨成粉后有特殊的药用功效，一些疯狂的炼金术士甚至开发出了将之加工成爆炸物催化剂的技术。\n脱离了身体后的尾巴会在一段时间后失去生命力，蜷曲起来。
