ID	说明	AbilityName	是否通用	最先加载	图标	group用途
60404	岩龙蜥-电	Monster_Drake_Rock_ElecMode,Monster_Drake_Rock_ElecEnhance,Monster_Drake_Rock_CrushAtkCharging_Elec,Monster_Drake_Rock_ElecEnhance_NormalAtkTrigger,Monster_Drake_Rock_ElecEnhance_SlapGround01Trigger,Monster_Drake_Rock_ElecEnhance_SlapGround02Trigger,Monster_Drake_Rock_ElecEnhance_SlapGround03Trigger,Monster_Drake_Rock_ElecEnhance_JumpAtkTrigger,Monster_Drake_Rock_ElecEnhance_JumpAtkFinalTrigger		1		
60501	古岩龙蜥-水	Drake_Primo_Rock_SkinController_Water,Drake_Primo_Rock_Breathe_Water,Drake_Primo_Rock_ElementExplodeBS_Water,Drake_Primo_Rock_ScaleShot_Water,Drake_Primo_Rock_ScaleBurst_Water,Drake_Primo_Rock_BrokenH_Water			Skill_E_Ayaka	
60502	古岩龙蜥-火	Drake_Primo_Rock_SkinController_Fire,Drake_Primo_Rock_Breathe_Fire,Drake_Primo_Rock_ElementExplodeBS_Fire,Drake_Primo_Rock_ScaleShot_Fire,Drake_Primo_Rock_ScaleBurst_Fire,Drake_Primo_Rock_BrokenH_Fire			Skill_E_Ayaka	
60503	古岩龙蜥-冰	Drake_Primo_Rock_SkinController_Ice,Drake_Primo_Rock_Breathe_Ice,Drake_Primo_Rock_ElementExplodeBS_Ice,Drake_Primo_Rock_ScaleShot_Ice,Drake_Primo_Rock_ScaleBurst_Ice,Drake_Primo_Rock_BrokenH_Ice			Skill_E_Ayaka	
60504	古岩龙蜥-电	Drake_Primo_Rock_SkinController_Electric,Drake_Primo_Rock_Breathe_Electric,Drake_Primo_Rock_ElementExplodeBS_Electric,Drake_Primo_Rock_ScaleShot_Electric,Drake_Primo_Rock_ScaleBurst_Electric,Drake_Primo_Rock_BrokenH_Electric			Skill_E_Ayaka	
60505	古岩龙蜥-活动	Drake_Primo_Rock_SkinController_ActivityCycle,Drake_Primo_Rock_ScaleShot_ActivityReplace,Drake_Primo_Rock_BrokenH_ActivityReplace,Drake_Primo_Rock_Breathe_Ice,Drake_Primo_Rock_ElementExplodeBS_Ice,Drake_Primo_Rock_ScaleBurst_Ice,Drake_Primo_Rock_Breathe_Fire,Drake_Primo_Rock_ElementExplodeBS_Fire,Drake_Primo_Rock_ScaleBurst_Fire,Drake_Primo_Rock_Breathe_Water,Drake_Primo_Rock_ElementExplodeBS_Water,Drake_Primo_Rock_ScaleBurst_Water,Drake_Primo_Rock_Breathe_Electric,Drake_Primo_Rock_ElementExplodeBS_Electric,Drake_Primo_Rock_ScaleBurst_Electric			Skill_E_Ayaka	
90401	若陀龙王-水	Monster_Dahaka_ElementType_Water,Monster_Dahaka_Roar_Water,Monster_Dahaka_Switch_Water,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Water		1	Skill_E_Ayaka	
90402	若陀龙王-火	Monster_Dahaka_ElementType_Fire,Monster_Dahaka_Roar_Fire,Monster_Dahaka_Switch_Fire,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Fire		1	Skill_E_Ayaka	
90403	若陀龙王-冰	Monster_Dahaka_ElementType_Ice,Monster_Dahaka_ElementSpring_Ice,Monster_Dahaka_ElementBurst_Ice,Monster_Dahaka_Switch_Ice,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Ice,Monster_Dahaka_SwitchEffect_Back,Monster_Dahaka_SwitchEffect_Howl		1	Skill_E_Ayaka	
90404	若陀龙王-电	Monster_Dahaka_ElementType_Electric,Monster_Dahaka_ElementSpring_Electric,Monster_Dahaka_ElementBurst_Electric,Monster_Dahaka_Switch_Electric,Monster_Dahaka_ShaderLightNormal_Lower,Monster_Dahaka_ShaderLightStrong_Lower,Monster_Dahaka_ShaderLightNormal_Upper,Monster_Dahaka_ShaderLightStrong_Upper,Monster_Dahaka_ElementMark_Electric,Monster_Dahaka_SwitchEffect_Back,Monster_Dahaka_SwitchEffect_Howl		1	Skill_E_Ayaka	
90405	若陀龙王-岩	Monster_Dahaka_StageControl		1	Skill_E_Ayaka	
90406	若陀龙王-岩	Monster_Quest_Dahaka_StageControl		1	Skill_E_Ayaka	
