技能ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	参数18	参数19	技能组ID	等级	类型	消耗金币	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	筛选条件1	筛选条件2	突破等级	生活效果类型	生活效果参数1	生活效果参数2	生活效果参数3	生活效果参数4	生活效果参数5	效果全队生效
223208	Venti_SkillUpgrade_2					4.416	6	6.08	15																2232	8	3	260000	104309	6	112004	6	113006	1	0	0			5							
223209	Venti_SkillUpgrade_2					4.692	6	6.46	15																2232	9	3	450000	104309	12	112004	9	113006	2	0	0			6							
223210	Venti_SkillUpgrade_2					4.968	6	6.84	15																2232	10	3	700000	104309	16	112004	12	113006	2	104319	1			6							
223211	Venti_SkillUpgrade_2					5.244	6	7.22	15																2232	11	3	0	0	0	0	0	0	0	0	0			6							
223212	Venti_SkillUpgrade_2					5.52	6	7.6	15																2232	12	3	0	0	0	0	0	0	0	0	0			6							
223213	Venti_SkillUpgrade_2					5.865	6	8.075	15																2232	13	3	0	0	0	0	0	0	0	0	0			6							
223214	Venti_SkillUpgrade_2					6.21	6	8.55	15																2232	14	3	0	0	0	0	0	0	0	0	0			6							
223215	Venti_SkillUpgrade_2					6.555	6	9.025	15																2232	15	3	0	0	0	0	0	0	0	0	0			6							
223901	Venti_SkillUpgrade_3					0.376	0.188	8	15	60															2239	1	3	0	0	0	0	0	0	0	0	0			0							
223902	Venti_SkillUpgrade_3					0.4042	0.2021	8	15	60															2239	2	3	12500	104307	3	112002	6	0	0	0	0			2							
223903	Venti_SkillUpgrade_3					0.4324	0.2162	8	15	60															2239	3	3	17500	104308	2	112003	3	0	0	0	0			3							
223904	Venti_SkillUpgrade_3					0.47	0.235	8	15	60															2239	4	3	25000	104308	4	112003	4	0	0	0	0			3							
223905	Venti_SkillUpgrade_3					0.4982	0.2491	8	15	60															2239	5	3	30000	104308	6	112003	6	0	0	0	0			4							
223906	Venti_SkillUpgrade_3					0.5264	0.2632	8	15	60															2239	6	3	37500	104308	9	112003	9	0	0	0	0			4							
223907	Venti_SkillUpgrade_3					0.564	0.282	8	15	60															2239	7	3	120000	104309	4	112004	4	113006	1	0	0			5							
223908	Venti_SkillUpgrade_3					0.6016	0.3008	8	15	60															2239	8	3	260000	104309	6	112004	6	113006	1	0	0			5							
223909	Venti_SkillUpgrade_3					0.6392	0.3196	8	15	60															2239	9	3	450000	104309	12	112004	9	113006	2	0	0			6							
223910	Venti_SkillUpgrade_3					0.6768	0.3384	8	15	60															2239	10	3	700000	104309	16	112004	12	113006	2	104319	1			6							
223911	Venti_SkillUpgrade_3					0.7144	0.3572	8	15	60															2239	11	3	0	0	0	0	0	0	0	0	0			6							
223912	Venti_SkillUpgrade_3					0.752	0.376	8	15	60															2239	12	3	0	0	0	0	0	0	0	0	0			6							
223913	Venti_SkillUpgrade_3					0.799	0.3995	8	15	60															2239	13	3	0	0	0	0	0	0	0	0	0			6							
223914	Venti_SkillUpgrade_3					0.846	0.423	8	15	60															2239	14	3	0	0	0	0	0	0	0	0	0			6							
223915	Venti_SkillUpgrade_3					0.893	0.4465	8	15	60															2239	15	3	0	0	0	0	0	0	0	0	0			6							
232101	Xiangling_ProudSkill_23					0.2																			2321	1	2	0	0	0	0	0	0	0	0	0			1							
232201	Xiangling_ProudSkill_24					0.1	10																		2322	1	2	0	0	0	0	0	0	0	0	0			4							
232301																									2323	1	2	0	0	0	0	0	0	0	0	0			0	104	1200	2	1			
233101	Xiangling_ProudSkill_31					0.42054	0.4214	0.26058	0.14104	0.71036	1.2169	25	0.639324	1.278377	1.596762										2331	1	3	0	0	0	0	0	0	0	0	0			0							
233102	Xiangling_ProudSkill_31					0.45477	0.4557	0.28179	0.15252	0.76818	1.31595	25	0.691362	1.382431	1.726731										2331	2	3	12500	104313	3	112002	6	0	0	0	0			2							
233103	Xiangling_ProudSkill_31					0.489	0.49	0.303	0.164	0.826	1.415	25	0.7434	1.486485	1.8567										2331	3	3	17500	104314	2	112003	3	0	0	0	0			3							
233104	Xiangling_ProudSkill_31					0.5379	0.539	0.3333	0.1804	0.9086	1.5565	25	0.81774	1.635134	2.04237										2331	4	3	25000	104314	4	112003	4	0	0	0	0			3							
233105	Xiangling_ProudSkill_31					0.57213	0.5733	0.35451	0.19188	0.96642	1.65555	25	0.869778	1.739187	2.172339										2331	5	3	30000	104314	6	112003	6	0	0	0	0			4							
233106	Xiangling_ProudSkill_31					0.61125	0.6125	0.37875	0.205	1.0325	1.76875	25	0.92925	1.858106	2.320875										2331	6	3	37500	104314	9	112003	9	0	0	0	0			4							
233107	Xiangling_ProudSkill_31					0.66504	0.6664	0.41208	0.22304	1.12336	1.9244	25	1.011024	2.02162	2.525112										2331	7	3	120000	104315	4	112004	4	113004	1	0	0			5							
233108	Xiangling_ProudSkill_31					0.71883	0.7203	0.44541	0.24108	1.21422	2.08005	25	1.092798	2.185133	2.729349										2331	8	3	260000	104315	6	112004	6	113004	1	0	0			5							
233109	Xiangling_ProudSkill_31					0.77262	0.7742	0.47874	0.25912	1.30508	2.2357	25	1.174572	2.348646	2.933586										2331	9	3	450000	104315	12	112004	9	113004	2	0	0			6							
233110	Xiangling_ProudSkill_31					0.8313	0.833	0.5151	0.2788	1.4042	2.4055	25	1.26378	2.527025	3.15639										2331	10	3	700000	104315	16	112004	12	113004	2	104319	1			6							
233111	Xiangling_ProudSkill_31					0.898537	0.900375	0.556762	0.30135	1.517775	2.600062	25	1.352988	2.705403	3.379194										2331	11	3	0	0	0	0	0	0	0	0	0			6							
233112	Xiangling_ProudSkill_31					0.977609	0.979608	0.605758	0.327869	1.651339	2.828868	25	1.442196	2.883781	3.601998										2331	12	3	0	0	0	0	0	0	0	0	0			6							
233113	Xiangling_ProudSkill_31					1.05668	1.058841	0.654753	0.354388	1.784903	3.057673	25	1.531404	3.062159	3.824802										2331	13	3	0	0	0	0	0	0	0	0	0			6							
233114	Xiangling_ProudSkill_31					1.135751	1.138074	0.703748	0.380906	1.918468	3.286479	25	1.620612	3.240537	4.047606										2331	14	3	0	0	0	0	0	0	0	0	0			6							
233115	Xiangling_ProudSkill_31					1.222011	1.22451	0.757197	0.409836	2.064174	3.536085	25	1.70982	3.418915	4.27041										2331	15	3	0	0	0	0	0	0	0	0	0			6							
233201	Xiangling_ProudSkill_32					1.1128	12																		2332	1	3	0	0	0	0	0	0	0	0	0			0							
233202	Xiangling_ProudSkill_32					1.19626	12																		2332	2	3	12500	104313	3	112002	6	0	0	0	0			2							
233203	Xiangling_ProudSkill_32					1.27972	12																		2332	3	3	17500	104314	2	112003	3	0	0	0	0			3							
233204	Xiangling_ProudSkill_32					1.391	12																		2332	4	3	25000	104314	4	112003	4	0	0	0	0			3							
233205	Xiangling_ProudSkill_32					1.47446	12																		2332	5	3	30000	104314	6	112003	6	0	0	0	0			4							
233206	Xiangling_ProudSkill_32					1.55792	12																		2332	6	3	37500	104314	9	112003	9	0	0	0	0			4							
233207	Xiangling_ProudSkill_32					1.6692	12																		2332	7	3	120000	104315	4	112004	4	113004	1	0	0			5							
233208	Xiangling_ProudSkill_32					1.78048	12																		2332	8	3	260000	104315	6	112004	6	113004	1	0	0			5							
233209	Xiangling_ProudSkill_32					1.89176	12																		2332	9	3	450000	104315	12	112004	9	113004	2	0	0			6							
233210	Xiangling_ProudSkill_32					2.00304	12																		2332	10	3	700000	104315	16	112004	12	113004	2	104319	1			6							
233211	Xiangling_ProudSkill_32					2.11432	12																		2332	11	3	0	0	0	0	0	0	0	0	0			6							
233212	Xiangling_ProudSkill_32					2.2256	12																		2332	12	3	0	0	0	0	0	0	0	0	0			6							
233213	Xiangling_ProudSkill_32					2.3647	12																		2332	13	3	0	0	0	0	0	0	0	0	0			6							
233214	Xiangling_ProudSkill_32					2.5038	12																		2332	14	3	0	0	0	0	0	0	0	0	0			6							
233215	Xiangling_ProudSkill_32					2.6429	12																		2332	15	3	0	0	0	0	0	0	0	0	0			6							
233901	Xiangling_ProudSkill_33					0.72	0.88	1.096	1.12	10	20	80													2339	1	3	0	0	0	0	0	0	0	0	0			0							
233902	Xiangling_ProudSkill_33					0.774	0.946	1.1782	1.204	10	20	80													2339	2	3	12500	104313	3	112002	6	0	0	0	0			2							
233903	Xiangling_ProudSkill_33					0.828	1.012	1.2604	1.288	10	20	80													2339	3	3	17500	104314	2	112003	3	0	0	0	0			3							
233904	Xiangling_ProudSkill_33					0.9	1.1	1.37	1.4	10	20	80													2339	4	3	25000	104314	4	112003	4	0	0	0	0			3							
233905	Xiangling_ProudSkill_33					0.954	1.166	1.4522	1.484	10	20	80													2339	5	3	30000	104314	6	112003	6	0	0	0	0			4							
233906	Xiangling_ProudSkill_33					1.008	1.232	1.5344	1.568	10	20	80													2339	6	3	37500	104314	9	112003	9	0	0	0	0			4							
233907	Xiangling_ProudSkill_33					1.08	1.32	1.644	1.68	10	20	80													2339	7	3	120000	104315	4	112004	4	113004	1	0	0			5							
233908	Xiangling_ProudSkill_33					1.152	1.408	1.7536	1.792	10	20	80													2339	8	3	260000	104315	6	112004	6	113004	1	0	0			5							
233909	Xiangling_ProudSkill_33					1.224	1.496	1.8632	1.904	10	20	80													2339	9	3	450000	104315	12	112004	9	113004	2	0	0			6							
233910	Xiangling_ProudSkill_33					1.296	1.584	1.9728	2.016	10	20	80													2339	10	3	700000	104315	16	112004	12	113004	2	104319	1			6							
233911	Xiangling_ProudSkill_33					1.368	1.672	2.0824	2.128	10	20	80													2339	11	3	0	0	0	0	0	0	0	0	0			6							
233912	Xiangling_ProudSkill_33					1.44	1.76	2.192	2.24	10	20	80													2339	12	3	0	0	0	0	0	0	0	0	0			6							
233913	Xiangling_ProudSkill_33					1.53	1.87	2.329	2.38	10	20	80													2339	13	3	0	0	0	0	0	0	0	0	0			6							
233914	Xiangling_ProudSkill_33					1.62	1.98	2.466	2.52	10	20	80													2339	14	3	0	0	0	0	0	0	0	0	0			6							
233915	Xiangling_ProudSkill_33					1.71	2.09	2.603	2.66	10	20	80													2339	15	3	0	0	0	0	0	0	0	0	0			6							
242101	Beidou_PermanentSkill_1					2																			2421	1	2	0	0	0	0	0	0	0	0	0			1							
242201	Beidou_PermanentSkill_2					0.15																			2422	1	2	0	0	0	0	0	0	0	0	0			4							
242301	Beidou_ProudSkill_NonCombat_1																								2423	1	2	0	0	0	0	0	0	0	0	0			0							1
243101	Beidou_ProudSkill_1					0.71122	0.70864	0.88322	0.86516	1.12144	0.56244	1.01824	40	5	0.745878	1.49144	1.862889								2431	1	3	0	0	0	0	0	0	0	0	0			0							
243102	Beidou_ProudSkill_1					0.76911	0.76632	0.95511	0.93558	1.21272	0.60822	1.10112	40	5	0.806589	1.612836	2.01452								2431	2	3	12500	104316	3	112035	6	0	0	0	0			2							
243103	Beidou_ProudSkill_1					0.827	0.824	1.027	1.006	1.304	0.654	1.184	40	5	0.8673	1.734233	2.16615								2431	3	3	17500	104317	2	112036	3	0	0	0	0			3							
243104	Beidou_ProudSkill_1					0.9097	0.9064	1.1297	1.1066	1.4344	0.7194	1.3024	40	5	0.95403	1.907656	2.382765								2431	4	3	25000	104317	4	112036	4	0	0	0	0			3							
243105	Beidou_ProudSkill_1					0.96759	0.96408	1.20159	1.17702	1.52568	0.76518	1.38528	40	5	1.014741	2.029052	2.534396								2431	5	3	30000	104317	6	112036	6	0	0	0	0			4							
243106	Beidou_ProudSkill_1					1.03375	1.03	1.28375	1.2575	1.63	0.8175	1.48	40	5	1.084125	2.167791	2.707688								2431	6	3	37500	104317	9	112036	9	0	0	0	0			4							
243107	Beidou_ProudSkill_1					1.12472	1.12064	1.39672	1.36816	1.77344	0.88944	1.61024	40	5	1.179528	2.358556	2.945964								2431	7	3	120000	104318	4	112037	4	113005	1	0	0			5							
243108	Beidou_ProudSkill_1					1.21569	1.21128	1.50969	1.47882	1.91688	0.96138	1.74048	40	5	1.274931	2.549322	3.184241								2431	8	3	260000	104318	6	112037	6	113005	1	0	0			5							
243109	Beidou_ProudSkill_1					1.30666	1.30192	1.62266	1.58948	2.06032	1.03332	1.87072	40	5	1.370334	2.740087	3.422517								2431	9	3	450000	104318	12	112037	9	113005	2	0	0			6							
243110	Beidou_ProudSkill_1					1.4059	1.4008	1.7459	1.7102	2.2168	1.1118	2.0128	40	5	1.47441	2.948195	3.682455								2431	10	3	700000	104318	16	112037	12	113005	2	104319	1			6							
243111	Beidou_ProudSkill_1					1.519613	1.5141	1.887112	1.848525	2.3961	1.201725	2.1756	40	5	1.578486	3.156303	3.942393								2431	11	3	0	0	0	0	0	0	0	0	0			6							
243112	Beidou_ProudSkill_1					1.653338	1.647341	2.053178	2.011195	2.606957	1.307477	2.367053	40	5	1.682562	3.364411	4.202331								2431	12	3	0	0	0	0	0	0	0	0	0			6							
243113	Beidou_ProudSkill_1					1.787064	1.780582	2.219244	2.173865	2.817814	1.413229	2.558506	40	5	1.786638	3.572519	4.462269								2431	13	3	0	0	0	0	0	0	0	0	0			6							
243114	Beidou_ProudSkill_1					1.92079	1.913822	2.38531	2.336536	3.02867	1.51898	2.749958	40	5	1.890714	3.780627	4.722207								2431	14	3	0	0	0	0	0	0	0	0	0			6							
243115	Beidou_ProudSkill_1					2.066673	2.059176	2.566473	2.513994	3.258696	1.634346	2.958816	40	5	1.99479	3.988735	4.982145								2431	15	3	0	0	0	0	0	0	0	0	0			6							
243201	Beidou_ProudSkill_2					0.144	1386.367827	1.216	1.6	7.5															2432	1	3	0	0	0	0	0	0	0	0	0			0							
243202	Beidou_ProudSkill_2					0.1548	1525.02388	1.3072	1.72	7.5															2432	2	3	12500	104316	3	112035	6	0	0	0	0			2							
243203	Beidou_ProudSkill_2					0.1656	1675.234605	1.3984	1.84	7.5															2432	3	3	17500	104317	2	112036	3	0	0	0	0			3							
243204	Beidou_ProudSkill_2					0.18	1837	1.52	2	7.5															2432	4	3	25000	104317	4	112036	4	0	0	0	0			3							
243205	Beidou_ProudSkill_2					0.1908	2010.320067	1.6112	2.12	7.5															2432	5	3	30000	104317	6	112036	6	0	0	0	0			4							
243206	Beidou_ProudSkill_2					0.2016	2195.194804	1.7024	2.24	7.5															2432	6	3	37500	104317	9	112036	9	0	0	0	0			4							
243207	Beidou_ProudSkill_2					0.216	2391.624213	1.824	2.4	7.5															2432	7	3	120000	104318	4	112037	4	113005	1	0	0			5							
243208	Beidou_ProudSkill_2					0.2304	2599.608293	1.9456	2.56	7.5															2432	8	3	260000	104318	6	112037	6	113005	1	0	0			5							
243209	Beidou_ProudSkill_2					0.2448	2819.147044	2.0672	2.72	7.5															2432	9	3	450000	104318	12	112037	9	113005	2	0	0			6							
243210	Beidou_ProudSkill_2					0.2592	3050.240466	2.1888	2.88	7.5															2432	10	3	700000	104318	16	112037	12	113005	2	104319	1			6							
243211	Beidou_ProudSkill_2					0.2736	3292.888559	2.3104	3.04	7.5															2432	11	3	0	0	0	0	0	0	0	0	0			6							
243212	Beidou_ProudSkill_2					0.288	3547.091323	2.432	3.2	7.5															2432	12	3	0	0	0	0	0	0	0	0	0			6							
243213	Beidou_ProudSkill_2					0.306	3812.848758	2.584	3.4	7.5															2432	13	3	0	0	0	0	0	0	0	0	0			6							
243214	Beidou_ProudSkill_2					0.324	4090.160865	2.736	3.6	7.5															2432	14	3	0	0	0	0	0	0	0	0	0			6							
243215	Beidou_ProudSkill_2					0.342	4379.027642	2.888	3.8	7.5															2432	15	3	0	0	0	0	0	0	0	0	0			6							
243901	Beidou_ProudSkill_3					1.216	0.96	0.2	15	20	80														2439	1	3	0	0	0	0	0	0	0	0	0			0							
243902	Beidou_ProudSkill_3					1.3072	1.032	0.21	15	20	80														2439	2	3	12500	104316	3	112035	6	0	0	0	0			2							
243903	Beidou_ProudSkill_3					1.3984	1.104	0.22	15	20	80														2439	3	3	17500	104317	2	112036	3	0	0	0	0			3							
243904	Beidou_ProudSkill_3					1.52	1.2	0.24	15	20	80														2439	4	3	25000	104317	4	112036	4	0	0	0	0			3							
243905	Beidou_ProudSkill_3					1.6112	1.272	0.25	15	20	80														2439	5	3	30000	104317	6	112036	6	0	0	0	0			4							
243906	Beidou_ProudSkill_3					1.7024	1.344	0.26	15	20	80														2439	6	3	37500	104317	9	112036	9	0	0	0	0			4							
243907	Beidou_ProudSkill_3					1.824	1.44	0.28	15	20	80														2439	7	3	120000	104318	4	112037	4	113005	1	0	0			5							
243908	Beidou_ProudSkill_3					1.9456	1.536	0.3	15	20	80														2439	8	3	260000	104318	6	112037	6	113005	1	0	0			5							
243909	Beidou_ProudSkill_3					2.0672	1.632	0.32	15	20	80														2439	9	3	450000	104318	12	112037	9	113005	2	0	0			6							
243910	Beidou_ProudSkill_3					2.1888	1.728	0.34	15	20	80														2439	10	3	700000	104318	16	112037	12	113005	2	104319	1			6							
243911	Beidou_ProudSkill_3					2.3104	1.824	0.35	15	20	80														2439	11	3	0	0	0	0	0	0	0	0	0			6							
243912	Beidou_ProudSkill_3					2.432	1.92	0.36	15	20	80														2439	12	3	0	0	0	0	0	0	0	0	0			6							
243913	Beidou_ProudSkill_3					2.584	2.04	0.37	15	20	80														2439	13	3	0	0	0	0	0	0	0	0	0			6							
243914	Beidou_ProudSkill_3					2.736	2.16	0.38	15	20	80														2439	14	3	0	0	0	0	0	0	0	0	0			6							
243915	Beidou_ProudSkill_3					2.888	2.28	0.39	15	20	80														2439	15	3	0	0	0	0	0	0	0	0	0			6							
262101	Xiao_PermanentSkill_1					0.05																			2621	1	2	0	0	0	0	0	0	0	0	0			1							
262201	Xiao_PermanentSkill_2					7	0.15	3																	2622	1	2	0	0	0	0	0	0	0	0	0			4							
262301	Xiao_ProudSkill_NonCombat_1																								2623	1	2	0	0	0	0	0	0	0	0	0			0							1
263101	Xiao_SkillUpgrade_1					0.27544	0.27544	0.56936	0.68552	0.37664	0.37664	0.71544	0.95832	1.21088	25	0.818335	1.636323	2.043855							2631	1	3	0	0	0	0	0	0	0	0	0			0							
263102	Xiao_SkillUpgrade_1					0.29422	0.29422	0.60818	0.73226	0.40232	0.40232	0.76422	1.02366	1.29344	25	0.884943	1.769512	2.210216							2631	2	3	12500	104310	3	112002	6	0	0	0	0			2							
263103	Xiao_SkillUpgrade_1					0.313	0.313	0.647	0.779	0.428	0.428	0.813	1.089	1.376	25	0.951552	1.902701	2.376576							2631	3	3	17500	104311	2	112003	3	0	0	0	0			3							
263104	Xiao_SkillUpgrade_1					0.33804	0.33804	0.69876	0.84132	0.46224	0.46224	0.87804	1.17612	1.48608	25	1.046707	2.092971	2.614234							2631	4	3	25000	104311	4	112003	4	0	0	0	0			3							
263105	Xiao_SkillUpgrade_1					0.35682	0.35682	0.73758	0.88806	0.48792	0.48792	0.92682	1.24146	1.56864	25	1.113316	2.22616	2.780594							2631	5	3	30000	104311	6	112003	6	0	0	0	0			4							
263106	Xiao_SkillUpgrade_1					0.37873	0.37873	0.78287	0.94259	0.51788	0.51788	0.98373	1.31769	1.66496	25	1.18944	2.378376	2.97072							2631	6	3	37500	104311	9	112003	9	0	0	0	0			4							
263107	Xiao_SkillUpgrade_1					0.4069	0.4069	0.8411	1.0127	0.5564	0.5564	1.0569	1.4157	1.7888	25	1.294111	2.587673	3.232143							2631	7	3	120000	104312	4	112004	4	113015	1	0	0			5							
263108	Xiao_SkillUpgrade_1					0.43507	0.43507	0.89933	1.08281	0.59492	0.59492	1.13007	1.51371	1.91264	25	1.398781	2.79697	3.493567							2631	8	3	260000	104312	6	112004	6	113015	1	0	0			5							
263109	Xiao_SkillUpgrade_1					0.46324	0.46324	0.95756	1.15292	0.63344	0.63344	1.20324	1.61172	2.03648	25	1.503452	3.006267	3.75499							2631	9	3	450000	104312	12	112004	9	113015	2	0	0			6							
263110	Xiao_SkillUpgrade_1					0.49141	0.49141	1.01579	1.22303	0.67196	0.67196	1.27641	1.70973	2.16032	25	1.617638	3.234591	4.040179							2631	10	3	700000	104312	16	112004	12	113015	2	104319	1			6							
263111	Xiao_SkillUpgrade_1					0.51958	0.51958	1.07402	1.29314	0.71048	0.71048	1.34958	1.80774	2.28416	25	1.731825	3.462915	4.325368							2631	11	3	0	0	0	0	0	0	0	0	0			6							
263112	Xiao_SkillUpgrade_1					0.54775	0.54775	1.13225	1.36325	0.749	0.749	1.42275	1.90575	2.408	25	1.846011	3.69124	4.610557							2631	12	3	0	0	0	0	0	0	0	0	0			6							
263113	Xiao_SkillUpgrade_1					0.57592	0.57592	1.19048	1.43336	0.78752	0.78752	1.49592	2.00376	2.53184	25	1.960197	3.919564	4.895747							2631	13	3	0	0	0	0	0	0	0	0	0			6							
263114	Xiao_SkillUpgrade_1					0.60409	0.60409	1.24871	1.50347	0.82604	0.82604	1.56909	2.10177	2.65568	25	2.074383	4.147888	5.180936							2631	14	3	0	0	0	0	0	0	0	0	0			6							
263115	Xiao_SkillUpgrade_1					0.63226	0.63226	1.30694	1.57358	0.86456	0.86456	1.64226	2.19978	2.77952	25	2.18857	4.376212	5.466125							2631	15	3	0	0	0	0	0	0	0	0	0			6							
263201	Xiao_SkillUpgrade_2					2.528	10																		2632	1	3	0	0	0	0	0	0	0	0	0			0							
263202	Xiao_SkillUpgrade_2					2.7176	10																		2632	2	3	12500	104310	3	112002	6	0	0	0	0			2							
263203	Xiao_SkillUpgrade_2					2.9072	10																		2632	3	3	17500	104311	2	112003	3	0	0	0	0			3							
263204	Xiao_SkillUpgrade_2					3.16	10																		2632	4	3	25000	104311	4	112003	4	0	0	0	0			3							
263205	Xiao_SkillUpgrade_2					3.3496	10																		2632	5	3	30000	104311	6	112003	6	0	0	0	0			4							
263206	Xiao_SkillUpgrade_2					3.5392	10																		2632	6	3	37500	104311	9	112003	9	0	0	0	0			4							
263207	Xiao_SkillUpgrade_2					3.792	10																		2632	7	3	120000	104312	4	112004	4	113015	1	0	0			5							
263208	Xiao_SkillUpgrade_2					4.0448	10																		2632	8	3	260000	104312	6	112004	6	113015	1	0	0			5							
263209	Xiao_SkillUpgrade_2					4.2976	10																		2632	9	3	450000	104312	12	112004	9	113015	2	0	0			6							
263210	Xiao_SkillUpgrade_2					4.5504	10																		2632	10	3	700000	104312	16	112004	12	113015	2	104319	1			6							
263211	Xiao_SkillUpgrade_2					4.8032	10																		2632	11	3	0	0	0	0	0	0	0	0	0			6							
263212	Xiao_SkillUpgrade_2					5.056	10																		2632	12	3	0	0	0	0	0	0	0	0	0			6							
263213	Xiao_SkillUpgrade_2					5.372	10																		2632	13	3	0	0	0	0	0	0	0	0	0			6							
263214	Xiao_SkillUpgrade_2					5.688	10																		2632	14	3	0	0	0	0	0	0	0	0	0			6							
263215	Xiao_SkillUpgrade_2					6.004	10																		2632	15	3	0	0	0	0	0	0	0	0	0			6							
263901	Xiao_SkillUpgrade_3					0.5845	0.03	15	18	70															2639	1	3	0	0	0	0	0	0	0	0	0			0							
263902	Xiao_SkillUpgrade_3					0.6195	0.03	15	18	70															2639	2	3	12500	104310	3	112002	6	0	0	0	0			2							
263903	Xiao_SkillUpgrade_3					0.6545	0.03	15	18	70															2639	3	3	17500	104311	2	112003	3	0	0	0	0			3							
263904	Xiao_SkillUpgrade_3					0.7	0.025	15	18	70															2639	4	3	25000	104311	4	112003	4	0	0	0	0			3							
263905	Xiao_SkillUpgrade_3					0.735	0.025	15	18	70															2639	5	3	30000	104311	6	112003	6	0	0	0	0			4							
263906	Xiao_SkillUpgrade_3					0.77	0.025	15	18	70															2639	6	3	37500	104311	9	112003	9	0	0	0	0			4							
263907	Xiao_SkillUpgrade_3					0.8155	0.02	15	18	70															2639	7	3	120000	104312	4	112004	4	113015	1	0	0			5							
263908	Xiao_SkillUpgrade_3					0.861	0.02	15	18	70															2639	8	3	260000	104312	6	112004	6	113015	1	0	0			5							
263909	Xiao_SkillUpgrade_3					0.9065	0.02	15	18	70															2639	9	3	450000	104312	12	112004	9	113015	2	0	0			6							
263910	Xiao_SkillUpgrade_3					0.952	0.02	15	18	70															2639	10	3	700000	104312	16	112004	12	113015	2	104319	1			6							
263911	Xiao_SkillUpgrade_3					0.9975	0.02	15	18	70															2639	11	3	0	0	0	0	0	0	0	0	0			6							
263912	Xiao_SkillUpgrade_3					1.043	0.02	15	18	70															2639	12	3	0	0	0	0	0	0	0	0	0			6							
263913	Xiao_SkillUpgrade_3					1.0885	0.02	15	18	70															2639	13	3	0	0	0	0	0	0	0	0	0			6							
263914	Xiao_SkillUpgrade_3					1.134	0.02	15	18	70															2639	14	3	0	0	0	0	0	0	0	0	0			6							
263915	Xiao_SkillUpgrade_3					1.1795	0.02	15	18	70															2639	15	3	0	0	0	0	0	0	0	0	0			6							
272101	Ningguang_PermanentSkill_1																								2721	1	2	0	0	0	0	0	0	0	0	0			1							
272201	Ningguang_PermanentSkill_2					0.12	10																		2722	1	2	0	0	0	0	0	0	0	0	0			4							
272301	Ningguang_ProudSkill_NonCombat_1																								2723	1	2	0	0	0	0	0	0	0	0	0			0							1
273101	Ningguang_SkillUpgrade_1					0.28	1.7408	0.496	50	0.568288	1.136335	1.419344													2731	1	3	0	0	0	0	0	0	0	0	0			0							
273102	Ningguang_SkillUpgrade_1					0.301	1.87136	0.5332	50	0.614544	1.228828	1.534872													2731	2	3	12500	104310	3	112032	6	0	0	0	0			2							
273103	Ningguang_SkillUpgrade_1					0.322	2.00192	0.5704	50	0.6608	1.32132	1.6504													2731	3	3	17500	104311	2	112033	3	0	0	0	0			3							
273104	Ningguang_SkillUpgrade_1					0.35	2.176	0.62	50	0.72688	1.453452	1.81544													2731	4	3	25000	104311	4	112033	4	0	0	0	0			3							
273105	Ningguang_SkillUpgrade_1					0.371	2.30656	0.6572	50	0.773136	1.545944	1.930968													2731	5	3	30000	104311	6	112033	6	0	0	0	0			4							
273106	Ningguang_SkillUpgrade_1					0.392	2.43712	0.6944	50	0.826	1.65165	2.063													2731	6	3	37500	104311	9	112033	9	0	0	0	0			4							
273107	Ningguang_SkillUpgrade_1					0.42	2.6112	0.744	50	0.898688	1.796995	2.244544													2731	7	3	120000	104312	4	112034	4	113008	1	0	0			5							
273108	Ningguang_SkillUpgrade_1					0.448	2.78528	0.7936	50	0.971376	1.94234	2.426088													2731	8	3	260000	104312	6	112034	6	113008	1	0	0			5							
273109	Ningguang_SkillUpgrade_1					0.476	2.95936	0.8432	50	1.044064	2.087686	2.607632													2731	9	3	450000	104312	12	112034	9	113008	2	0	0			6							
273110	Ningguang_SkillUpgrade_1					0.504	3.13344	0.8928	50	1.12336	2.246244	2.80568													2731	10	3	700000	104312	16	112034	12	113008	2	104319	1			6							
273111	Ningguang_SkillUpgrade_1					0.53312	3.314483	0.944384	50	1.202656	2.404802	3.003728													2731	11	3	0	0	0	0	0	0	0	0	0			6							
273112	Ningguang_SkillUpgrade_1					0.5712	3.551232	1.01184	50	1.281952	2.563361	3.201776													2731	12	3	0	0	0	0	0	0	0	0	0			6							
273113	Ningguang_SkillUpgrade_1					0.60928	3.787981	1.079296	50	1.361248	2.721919	3.399824													2731	13	3	0	0	0	0	0	0	0	0	0			6							
273114	Ningguang_SkillUpgrade_1					0.64736	4.02473	1.146752	50	1.440544	2.880478	3.597872													2731	14	3	0	0	0	0	0	0	0	0	0			6							
273115	Ningguang_SkillUpgrade_1					0.68544	4.261478	1.214208	50	1.51984	3.039036	3.79592													2731	15	3	0	0	0	0	0	0	0	0	0			6							
273201	Ningguang_SkillUpgrade_2					-0.499	2.304	0.501	12																2732	1	3	0	0	0	0	0	0	0	0	0			0							
273202	Ningguang_SkillUpgrade_2					-0.469	2.4768	0.531	12																2732	2	3	12500	104310	3	112032	6	0	0	0	0			2							
