对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]1参数4	[触发条件]1参数5	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]2参数4	[触发条件]2参数5	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	[触发条件]3参数4	[触发条件]3参数5	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]4参数3	[触发条件]4参数4	[触发条件]4参数5	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	[触发条件]5参数3	[触发条件]5参数4	[触发条件]5参数5	[触发条件]6类型	[触发条件]6参数1	[触发条件]6参数2	[触发条件]6参数3	[触发条件]6参数4	[触发条件]6参数5	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID	额外加载标识ID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]1参数3	[完成执行]1参数4	[完成执行]1参数5	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2	[完成执行]2参数3	[完成执行]2参数4	[完成执行]2参数5	[完成执行]3类型	[完成执行]3参数1	[完成执行]3参数2	[完成执行]3参数3	[完成执行]3参数4	[完成执行]3参数5	[完成执行]4类型	[完成执行]4参数1	[完成执行]4参数2	[完成执行]4参数3	[完成执行]4参数4	[完成执行]4参数5	[完成执行]5类型	[完成执行]5参数1	[完成执行]5参数2	[完成执行]5参数3	[完成执行]5参数4	[完成执行]5参数5
1903001	2	1		1	1903001	3																																		5		190300101	10917	19030																															
1903002	2	1		1	1903005	3																																		5		190300201	10908	19030																															
1903003	2	1		1	1903006	3																																		5		190300301	1023																																
1903101	2	1		1	1903105	3																																		5		190310101	1023	19031																															
1903102	2	1	2	1	1903104	2				1	1903106	2																												5		1903102101	10905	19031																															
1903201	2	1		1	1903205	2																																		5		1903203101	10907	19032																															
1903301	1	1		1	1903301	2																																		5		1903201201	10918	19033																															
1903401	1	1		1	1903401	2																																		5		1903201201	10918	19034																															
1904201	2	1	2	1	1904206	2				1	1904207	2				1	1904203	2				1	1904204	2				1	1904205	2												190420101	1244	19042																															
1904402	2	1	1	1	1904401	2				19	1904401					1	1904420	3																								190440201	1024	19044																															
1904404	2	1	2	1	1904407	2				1	1904409	2				1	1904410	2				1	1904411																			190440406	10371	19044																															
1904405	2	1	2	1	1904407	2				1	1904409	2				1	1904410	2				1	1904411																			190440501	10372	19044																															
1904406	2	1	2	1	1904410	2				1	1904411	2																														190440601	10373	19044																															
1906101	2	1	2	1	1906108	2				1	1906109	2																												5		190610801	1027,11001	19061																															
1906401	2	1	2	1	1906403	2																																		5		190640101	160501	19064																															
1906501	2	1	1	1	1906513	2																																		5		190650101	1005	19065																															
1906601	2	1	2	1	1906612	2																																		5		190660110	1005	19066																															
1906602	2	1	2	1	1906601	2				1	1906611	2				1	1906602	2				1	1906603	2				1	1906604	2										5		190660201	11003	19066																															
1906801	2	1	1	1	1906802	2				19	1906802																													5		190680101	140101	19068																															
1906802	1	1		1	1906803	2																																		5		190680201	140101	19068																															
1906803	1	1		1	1906804	2																																		5		190680301	140101	19068																															
1906804	2	1	1	1	1906808	2																																		5		190680401	140301	19068																															
1906805	2	1	1	41	1906809	1																																		4		190680501	1027	19068																															
1906806	2	1	1	41	1906809	1																																		4		190680601	20218	19068																															
1906901	2	1	2	1	1906901	2																																		5		190690101	140101	19069																															
1906904	2	1	2	1	1906907	2																																		5		190690401	140101	19069																															
1906909	2	1	2	1	1906910	2				1	1906911	2																												5		190690901	140101,140301	19069																															
1907001	2	1	2	1	1907001	2																																		5		190700101	1027	19070																															
1908405	2	1	1	1	1908403	3				1	1908405	2				19	1908406																							5		190840501	214801	19084																															
1908603	2	1	1	1	1908601	3				1	1908603	2				19	1908605																							5		190860301	140901	19086																															
1908708	2	1	1	1	1908701	3				1	1908706	2																												5		190870801	140901	19087																															
1908709	2	1	2	1	1908709	3				1	1908702	3																												5		190870901	1027	19087																															
1908712	2	1	2	1	1908709	2																																		5		190871201	11009	19087																															
1909101	2	1	4	1	1909101	3				1	1909102	2				1	1909103	2																						5		190910101	143501	19091																															
1909102	2	1	4	1	1909101	3				1	1909102	2				1	1909103	2																						5		190910201	146901	19091																															
1909103	2	1	4	1	1909101	3				1	1909102	2				1	1909103	2																						5		190910301	143101	19091																															
1909104	2	1	4	1	1909101	3				1	1909102	2				1	1909103	2																						5		190910401	144701	19091																															
1909106	2	1	1	1	1909102	3				1	1909103	2																												5		190910601	152101	19091																															
1909202	2	1	4	1	1909209	3				1	1909202	2				1	1909219	2																						5		190920201	146501	19092																															
1909207	2	1	4	1	1909202	3				1	1909219	2				1	1909208	2																						5		190920701	147501	19092																															
1910101	2	1		1	1910101	2																																		5		191010101	146101	19101																															
1910305	2	1		1	1910305	2																																		5		191030501	153901	19103																															
1910402	2	1		1	1910402	2																																		5		191040201	502	19104																															
1910403	2	1		1	1910403	2																																		5		191040301	502	19104																															
1910404	2	1		1	1910404	2																																		5		191040401	502	19104																															
1910411	2	1		1	1910411	2																																		5		191041101	10807	19104																															
1910412	2	1		1	1910412	2																																		5		191041201	10808	19104																															
1910413	2	1		1	1910413	2																																		5		191041301	10809	19104																															
1910497	2	1		1	1910411	2																																		5		191049701	502,153701	19104																															
1910498	2	1	2	1	1910407	2				1	1910408	2				1	1910411	2																						5		191030501	153901	19104																															
1910499	2	1	2	1	1910401	2				1	1910402	2				1	1910403	2				1	1910404	2				1	1910405	2				1	1910406	2				5		191030501	153901	19104																															
1910599	2	1	2	1	1910501	2																																		5		191030501	153901	19105																															
1910604	2	1	1	1	1910604	2				19	1910604																													5		191060401	502	19106																															
1910606	2	1	1	1	1910607	2				19	1910607																													5		191060601	502	19106																															
1910703	2	1	1	1	1910703	2				19	1910703																													5		191070301	502	19107																															
1910795	2	1		1	1910706	2																																		5		191079501	152701,152901	19107																															
1910797	2	1	2	1	1910703	2				1	1910704	2																												5		191079701	152701,152901	19107																															
1910798	2	1		1	1910702	2																																		5		191079801	152701,152901	19107																															
1910799	2	1		1	1910702	2																																		5		191079901	502	19107																															
2006801	2		1	1	2006801	2																																		5		200680101	1429	20068																															
2006802	2		1	19	2006802	3				1	2006801	3																												6		200680201	1429	20068																															
2006803	2		1	1	2006803	2																																		5		200680301	1567	20068																															
2006804	2		1	1	2006804	2																																		11		200680401	1429	20068																															
2006805	2			1	2006803	2																																		6		200680501	1429	20068																															
2006806	2		2	1	2006802	2				1	2006801	2																												6		200680601	1567	20068																															
2006901	2		1	1	2006901	2				44	40002	0																												5		200690101	1425	20069																															
2006902	2		1	1	2006905	2				44	40002	0																												5		200690201	1425	20069																															
2006903	2		1	1	2006901	2				44	40002	1																												5		200690301	1425	20069																															
2006904	2		1	1	2006909	2				44	40002	1																												5		200690401	1425	20069																															
2006999	2		4	1	2006901	3				41	2006909	1				41	2006905	1																						3		200699904	1425	20069																															
2007001	2		4	1	2007004	2				44	40004	0				44	40005	0																						5		200700101	1425	20070																															
2007002	2		1	1	2007007	2																																		5		200700201	1425	20070																															
2007003	2		1	1	99902	2																																		5		200700301	1425	20070																															
2007004	2		1	1	2007014	2				44	40004	1				44	40005	1																						5		200700401	1425	20070																															
2007005	2		1	1	2007015	2																																		5		200700501	1425	20070																															
2007101	2		4	1	2007107	2				44	40003	0				44	40004	0																						3		200710101	1425	20071																															
2007102	2		1	1	2007109	2																																		5		200710201	1425	20071																															
2007103	2		1	1	2007111	2				44	40004	1				44	40003	1																						4		200710301	1425	20071																															
2007104	2		1	1	2007112	2																																		5		200710401	1425	20071																															
2007201	2		4	1	2007208	2				44	40003	0				44	40005	0																						3		200720101	1425	20072																															
2007202	2		1	1	2007210	2																																		5		200720201	1425	20072																															
2007203	2		1	1	2007212	2				44	40003	1				44	40005	1																						4		200720301	1425	20072																															
2007204	2		1	1	2007213	2																																		5		200720401	1425	20072																															
2007301	2		1	1	2007301	2																																		5		200730101	1671	20073																															
2007302	2		1	1	2007306	2																																		5		200730201	1671	20073																															
2007303	2		1	1	2007302	2				19	2007301																													5		200730301	20209	20073																															
2007304	2		1	1	2007304	2				19	2007302																													5		200730401	20210	20073																															
2007305	2		1	1	2007303	2				19	2007303					1	2007307	3																						5		200730501	20211	20073																															
2007313	2		4	1	2007302	3				1	2007304	2				1	2007306	2				1	2007303	2																3		200731301	20209	20073																															
2007314	2		4	1	2007304	3				1	2007303	2				1	2007306	2																						3		200731401	20210	20073																															
2007315	2			1	2007306	2																																		3		200731501	20211	20073																															
2007316	2		2	1	2007302	2				1	2007304	2				1	2007303	2																						3		200731601	1671	20073																															
2007391	2		1																																							200739101	20209																																
2007392	2		1																																							200739201	20210																																
2007393	2		1																																							200739301	20211																																
2010401	2			1	2010401	2																																				201040101	1596	20104																															
2010402	2		1	1	2010404	2				1	2010402	3																												3		201040201	1596	20104																															
2010403	2		1	1	2010404	2				1	2010403	3																												5		201040301	1596	20104																															
2010405	2			1	2010402	2																																				201040501	1596	20104																															
2010406	2			1	2010402	2																																				201040601	1595	20104																															
2051101	2			1	2051101	2																																		5		205110101	1408	20511																															
2051102	2			1	2051102	2																																		5		205110201	1408	20511																															
2051103	2			1	2051103	2																																		5		205110301	1408	20511																															
2051104	2			1	2051104	2																																		5		205110401	1408	20511																															
2051201	2			1	2051201	2																																		5		205120101	1408	20512																															
2051202	2			1	2051202	2																																		5		205120201	1408	20512																															
2051203	2			1	2051203	2																																		5		205120301	1408	20512																															
2051301	2			1	2051301	2																																		5		205130101	1408	20513																															
2051302	2			1	2051302	2																																		5		205130201	1408	20513																															
2051303	2			1	2051303	2																																		5		205130301	1408	20513																															
2051401	2			1	2051401	2																																		5		205140101	1408	20514																															
2051402	2			1	2051402	2																																		5		205140201	1405	20514																															
2051403	2			1	2051403	2																																		5		205140301	1408	20514																															
2051404	2			1	2051404	2																																		5		205140401	1409	20514																															
2051405	2			1	2051405	2																																		5		205140501	1405	20514																															
2051406	2			1	2051406	2																																		5		205140601	1408	20514																															
2051407	2		2	1	2051404	2				1	2051405	2																												5		205140701	1408	20514																															
2051408	2		2	1	2051401	2				1	2051403	2				1	2051406	2																						5		205140801	1405	20514																															
2051409	2		2	1	2051405	2				1	2051406	2																												5		205140901	1409	20514																															
2051501	2			1	2051501	2																																		5		205150101	1408	20515																															
2051502	2			1	2051502	2																																		5		205150201	1405	20515																															
2051503	2			1	2051503	2																																		5		205150301	1408	20515																															
2051504	2			1	2051504	2																																		5		205150401	1602	20515																															
2051505	2			1	2051505	2																																		5		205150501	1405	20515																															
2051506	2			1	2051506	2																																		5		205150601	1408	20515																															
2051507	2		2	1	2051504	2				1	2051505	2																												5		205150701	1408	20515																															
2051508	2		2	1	2051501	2				1	2051503	2				1	2051506	2																						5		205150801	1405	20515																															
2051509	2		2	1	2051505	2				1	2051506	2																												5		205150901	1602	20515																															
2051601	2			1	2051601	2																																		5		205160101	1408	20516																															
2051602	2			1	2051602	2																																		5		205160201	1405	20516																															
2051603	2			1	2051603	2																																		5		205160301	1408	20516																															
2051604	2			1	2051604	2																																		5		205160401	1429	20516																															
2051605	2			1	2051605	2																																		5		205160501	1405	20516																															
2051606	2			1	2051606	2																																		5		205160601	1408	20516																															
2051607	2		2	1	2051604	2				1	2051605	2																												5		205160701	1408	20516																															
2051608	2		2	1	2051601	2				1	2051603	2				1	2051606	2																						5		205160801	1405	20516																															
2051609	2		2	1	2051605	2				1	2051606	2																												5		205160901	1429	20516																															
2051701	2			1	2051701	2																																		5	2051711,2051712,2051713,2051740	205170101	160001	20517																															
2051702				1	2051702	2																																		5	2051706,2051707	205170201	1435	20517																															
2051703	2		2	1	2051702	2				1	2051705	2																												5		205170301	160001	20517																															
2051704	2			1	2051704	2																																		5		205170401	160001	20517																															
2051705	2			1	2051706	2																																		5		205170501	160001	20517																															
2051706																																								5	2051708,2051709	205170601	1435	20517																															
2051707																																								5		205170701	1435	20517																															
2051708				3	202	900																																		5		205170801	1435	20517																															
2051709				8	202	900																																		5		205170901	1435	20517																															
2051710			1	1	2051705	2				19	2051705																													5		205171001	1435	20517																															
2051711				1	2051708	2																																		5		205171101	160001	20517																															
2051712				1	2051709	2																																		5		205171201	160001	20517																															
2051713				1	2051710	2																																		5		205171301	160001	20517																															
2051714				1	2051711	2																																		5		205171401	1419	20517																															
2051715	2			1	2051712	2																																		5		205171501	1455	20517																															
2051716				1	2051713	2																																		5		205171601	1419	20517																															
2051717	2			1	2051714	2																																		5		205171701	160001	20517																															
2051718	2		2	1	2051711	2				1	2051712	2				1	2051713	2																						5		205171801	160001	20517																															
2051719	2		2	1	2051713	2				1	2051714	2																												5		205171901	1455	20517																															
2051720	2			1	2051715	2																																		5		205172001	1403	20517																															
2051721	2		2	1	2051718	2																																		5		205172101	1403	20517																															
2051722	2			1	2051719	2																																		5		205172201	160001	20517																															
2051723	2		2	1	2051715	2				1	2051716	2				1	2051717	2																						5		205172301	160001	20517																															
2051724	2			1	2051718	2																																		5		205172401	160001	20517																															
2051725	2		2	1	2051716	2				1	2051717	2																												5		205172501	1403	20517																															
2051726	2			1	2051719	2																																		5		205172601	1403	20517																															
2051727	2			1	2051720	2																																		5		205172701	1403	20517																															
2051728	2			1	2051722	2																																		5		205172801	1403	20517																															
2051729	2			1	2051721	2																																		5		205172901	1403	20517																															
2051730	2			1	2051723	2																																		5		205173001	1403	20517																															
2051731	2			1	2051723	2																																		5		205173101	160001	20517																															
2051732				1	2051739	2																																		5		205173201	1419	20517																															
2051733	2			1	2051739	2																																		5		205173301	1455	20517																															
2051734	2		2	1	2051720	2				1	2051721	2				1	2051722	2																						5		205173401	160001	20517																															
2051735				1	2051714	2																																		5		205173501	1419	20517																															
2051736	2			1	2051743	2																																		5		205173601	1435	20517																															
2051740				1	2051730	2																																		5		205174001	160001	20517																															
2051741	2			1	2051731	2																																		5		205174101	1525	20517																															
2051742	2			1	2051732	2																																		5	2051748	205174201	160001	20517																															
2051743	2			1	2051733	2																																		5	2051749	205174301	160001,1005	20517																															
2051744	2			1	2051734	2																																		5		205174401	1525	20517																															
2051745	2			1	2051737	2																																		5		205174501	1473	20517																															
2051746	2			1	2051738	2																																		5		205174601	160001	20517																															
2051747	1	1		1	2051735	2																																		5		205174701	20141,1473,1005	20517																															
2051748	1		1	1	2051740	2																																		5		205174801	1005	20517																															
2051749	1		1	1	99902	3																																		5		205174901	1005	20517																															
2051792	2		1	33	24900	3	1			1	2051731	2																												5		205179201	160001	20517																															
2051793	2		1	33	24900	3	9																																	5		205179301	1525	20517																															
2051794	2		1	33	24900	3	9																																	5		205179401	1473	20517																															
2051795	2		1	33	24900	3	8																																	5		205179501	1473	20517																															
2051796	2		1	33	24900	3	5																																	5		205179601	1525	20517																															
2051797	2		1	34	24900	3	8			32	24900	3	3																											5		205179701	160001	20517																															
2051798	2		2	33	24900	3	2			33	24900	3	1																											5		205179801	1473	20517																															
2051799	2		2	33	24900	3	2			33	24900	3	3																											5		205179901	1525	20517																															
2051801	2			1	2051801	2																																		3		205180101	1525	20518																															
2051802	2			1	2051804	2																																		3		205180201	1525	20518																															
2051803	2			1	2051805	2																																		3		205180301	1433	20518																															
2051804	2			1	2051806	2																																		3		205180401	1525	20518																															
2051805	2		2	1	2051802	2				1	2051803	2																												3		205180501	1525	20518																															
2051806	2		2	1	2051802	2				1	2051803	2				1	2051804	2																						3		205180601	1473	20518																															
2051807	2			1	2051806	2																																		3		205180701	1473	20518																															
2051808	2		2	1	2051806	2				1	2051804	2																												3		205180801	1433	20518																															
2051809	2		2	1	2051801	2				1	2051803	2																												3		205180901	1433	20518																															
2051901	2			1	2051901	2																																		3		205190101	1525	20519																															
2051902	2		2	1	2051904	2				1	2051903	2																												3		205190201	1525	20519																															
2051903	2			1	2051902	2																																		3		205190301	1433	20519																															
2051904	2		2	1	2051902	2				1	2051903	2																												3		205190401	1525	20519																															
2051905	2		2	1	2051902	2				1	2051903	2				1	2051904	2																						3		205190501	1473	20519																															
2051906	2		2	1	2051904	2				1	2051901	2																												3		205190601	1433	20519																															
2052001	2			1	2052001	2																																		5	2052002,2052003	205200101	167201	20520																															
2052002				1	2052001	3																																		5		205200201	167201	20520																															
2052003				1	2052001	3																																		5		205200301	167201	20520																															
2052004	2		4	1	2052007	2				1	2052004	3				1	2052006	3																						5		205200401	167201	20520																															
2052005	2		1	1	2052009	3				1	2052010	2																												5		205200501	167201	20520																															
2052006	2		1	1	2052010	3				1	2052011	2																												5		205200601	167201	20520																															
2052008	2		1	1	2052005	3				1	2052006	2				19	2052006																							5		205200801	167201	20520																															
2052009	2		1	1	2052002	3				1	2052004	2																												5		205200901	167201	20520																															
2052010	2		1	1	2052003	3				1	2052005	2																												5		205201001	167201	20520																															
2052011	2		1	1	2052007	3				1	2052009	2																												5		205201101	167201	20520																															
2052101	2		1	1	2052101	2																																		5		205210101	1664	20521																															
2052102	2		1	1	2052101	3																																		5	2052103	205210201	166501	20521																															
2052103			1	1	2052103	2																																		5		205210301	166501	20521																															
2052105	2		1	1	2052101	3				1	2052102	2																												5		205210501	1664	20521																															
2060001	2			1	2060001	2																																		10	2060002,2060003,2060004	206000101	1517	20600																															
2060002			1	1	2060002	2																																		10		206000201	1517	20600																															
2060003			1	1	2060003	2																																		10		206000301	1517	20600																															
2060004			1	1	2060004	2																																		10		206000401	1517	20600																															
2060005	2		2	1	2060005	2																																		10		206000501	1517	20600																															
2060006	2		1	1	2060005	3				1	2060006	2																												10		206000601	1517	20600																															
2060007	2		2	1	2060007	2																																		10		206000701	1517	20600																															
2060008	2		1	1	2060007	3				1	2060008	2																												10		206000801	1517	20600																															
2060009	2		2	1	2060009	2																																		10		206000901	1517	20600																															
2060010	2		1	1	2060009	3				1	2060010	2																												10		206001001	1517	20600																															
2060101	2	1		42	2060101																																			5	2060102,2060103	206010101	1409																																
2060102		1	1																																					5		206010201	1409																																
2060103		1	1																																					5		206010301	1409																																
2060104	2	1	1	1	2060101	3				41	2060107	1																												5		206010401	1409	20601																															
2060105	2	1	1	1	2060105	2																																		5		206010501	1413	20601																															
2060106	2	1		1	2060108	2																																		5		206010601	1413	20601																															
2060107	2	1	1	1	2060108	2																																		5		206010701	1409	20601																															
2060108	2	1	1	1	2060109	2																																		5		206010801	1409	20601																															
2060109	2	1		1	2060109	2																																		5		206011001	1413	20601																															
2060201	2	1		42	2060201																																			5	2060202,2060203,2060204	206020101	1409																																
2060202		1		42	2060201																																			5		206020201	1409																																
2060203		1		42	2060201																																			5		206020301	1409																																
2060204		1		42	2060201																																			5		206020401	1409																																
2060205	2	1		1	2060213	2																																		5		206020501	1409	20602																															
2060206	2	1		1	2060201	3				1	2060213	0																												5		206020601	1409	20602																															
2060301	2	1		42	2060301																																			5	2060302,2060303	206030101	1409																																
2060302		1		42	2060301																																			5		206030201	1409																																
2060303		1		42	2060301																																			5		206030301	1409																																
2060304	2	1	1	1	2060301	3				1	2060313	0																												5		206030401	1409	20603																															
2060305	2	1		1	2060313	2																																		5		206030501	1409	20603																															
2070001	2		1	1	2070001	2																																		5	2070021,2070031,2070041	207000101	1654	20700																															
2070002			1	1	2070002	3				1	2070026	2				1	2070023	3																						5		207000201	1654	20700																															
2070005			1	1	2070002	3				1	2070026	3				1	2070023	3																						5		207000304	1654	20700																															
2070007	2		1	1	2070001	3				1	2070002	2																												5		207000602	1654	20700																															
2070021			1	1	2070009	2																																		5		207002101	1654	20700																															
2070025	2		1	1	2070002	3																																		5	2070002,2070005	207002501	1654	20700																															
2070031			1	1	2070010	2																																		5		207003101	1654	20700																															
2070032			1	1	2070007	3				1	2070025	2				1	2070024	3																						5		207003201	1654	20700																															
2070033			1	1	2070007	3				1	2070025	3				1	2070024	3																						5		207003301	1654	20700																															
2070035	2		1	1	2070007	3																																		5	2070032,2070033	207003501	1654	20700																															
2070039	2		1	1	2070007	2																																		5		207003901	1654	20700																															
2070041			1	1	2070011	2																																		5		207004101	1654	20700																															
2070042			1	1	2070020	3				1	2070021	3																												5		207004201	1654	20700																															
2070043			2	1	2070020	4				1	2070021	4																												5		207004301	1654	20700																															
2070045	2		1	1	2070008	3																																		5	2070042,2070043	207003501	1654	20700																															
2070049	2		1	1	2070008	2																																		5		207004901	1654	20700																															
2070101	2		1	1	2070101	2																																		5	2070102,2070103	207010101	1631	20701																															
2070102			1	1	2070101	2																																		5		207010201	1631	20701																															
2070103			1	1	2070101	2																																		5		207010301	1631	20701																															
2070104	2		1	1	2070101	3				1	2070102	2																												5		207010401	1631	20701																															
2070105	2		1	19	2070103					1	2070102	3																												5		207010501	1631	20701																															
2070106	2		1	1	2070103	3				1	2070104	2																												5		207010502	1631	20701																															
2070107	2		1	1	2070103	3				1	2070105	2																												5		207010510	1631	20701																															
2070108	2		1	1	2070103	3				1	2070106	2																												5		207010520	1631	20701																															
2070201	2		1	1	2070201	2																																		5	2070202,2070203	207020101	1437	20702																															
2070202			1	1	2070201	2																																		5		207020201	1437	20702																															
2070203			1	1	2070201	2																																		5		207020301	1437	20702																															
2070210	2		1	1	2070202	2																																		5	2070211,2070212,2070213	207021001	1437	20702																															
2070211			1	1	2070202	2																																		5	2070215	207021101	1437	20702																															
2070212			1	1	2070202	2																																		5	2070215	207021201	1437	20702																															
2070213			1	1	2070202	2																																		5	2070214	207021301	1437	20702																															
2070214			1	1	2070202	2																																		5	2070220	207021401	1437	20702																															
2070215			1	1	2070202	2																																		5	2070220	207021501	1437	20702																															
2070220			1	1	2070202	2																																		5	2070221,2070222,2070223	207022001	1437	20702																															
2070221			1	1	2070202	2																																		5	2070225	207022101	1437	20702																															
2070222			1	1	2070202	2																																		5	2070224	207022201	1437	20702																															
2070223			1	1	2070202	2																																		5	2070225	207022301	1437	20702																															
2070224			1	1	2070202	2																																		5	2070230	207022401	1437	20702																															
2070225			1	1	2070202	2																																		5	2070230	207022501	1437	20702																															
2070230			1	1	2070202	2																																		5	2070231,2070232,2070233	207023001	1437	20702																															
2070231			1	1	2070202	2																																		5	2070235	207023101	1437	20702																															
2070232			1	1	2070202	2																																		5	2070234	207023201	1437	20702																															
2070233			1	1	2070202	2																																		5	2070235	207023301	1437	20702																															
2070234			1	1	2070202	2																																		5	2070290	207023401	1437	20702																															
2070235			1	1	2070202	2																																		5	2070290	207023501	1437	20702																															
2070290			1	1	2070202	2																																		5	2070291,2070292,2070293,2070294	207029001	1437	20702																															
2070291			1	1	2070202	2				1	2070206	3																												5		207029101	1437	20702																															
2070292			2	1	2070208	3				1	2070209	3				1	2070210	3																						5		207029201	1437	20702																															
2070293			1	1	2070202	2				1	2070207	3																												5		207029301	1437	20702																															
2070294			2	1	2070211	3				1	2070212	3				1	2070213	3																						5		207029401	1437	20702																															
2070301	2		1	1	2070301	2																																		5	2070302,2070303	207030101	1555	20703																															
2070302			1	1	2070301	2																																		5		207030201	1555	20703																															
2070303			1	1	2070301	2																																		5		207030301	1555	20703																															
2070304	2		1	1	2070301	3				1	2070302	2																												5		207030401	1555	20703																															
2070305	2		1	1	2070302	3																																		5		207030501	1555	20703																															
2070401	2		1	1	2070401	2																																		5	2070402,2070406	207040101	2093																																
2070402			1	1	2070401	2																																		5	2070403	207040201	2093	20704																															
2070403			1	1	2070401	2																																		5	2070404	207040301	2093	20704																															
2070404			1	1	2070401	2																																		5	2070405	207040401	2093	20704																															
2070405			1	1	2070401	2																																		5		207040501	2093	20704																															
2070406			1	1	2070401	2																																		5		207040601	2093	20704																															
2070407	2		1	1	2070403	2																																		5		207040701	2093	20704																															
2070408	2		1	1	2070405	3																																		5		207040801	2093	20704																															
2070409	2		1	1	2070402	2																																		5		207040901	2093	20704																															
2070410	2		2	1	2070405	2				1	2070404	2																												5		207041001	2093	20704																															
2074001	2	1	1	42	2074001																																			5	2074002,2074003	207400102	1425																																
2074002		1	1																																					5		207400201	1425																																
2074003		1	1																																					5		207400301	1425																																
2074004		1	1	1	2074005	2																																		5		207400401	1425	20740																															
2074005		1	1	1	2074010	2																																		5		207400501	1425	20740																															
2074006		1	1	1	2074008	2																																		5		207400601	1425	20740																															
2074007		1		1	2074009	2																																		5		207400701	1425	20740																															
2074008	2	1	1	1	2074012	2																																		5	2074009	207400508	1425	20740																															
2074009		1	1	1	2074012	2																																		5		207400509	1425	20740																															
2074101	2	1	1	42	2074101																																			5	2074102,2074103	207410101	1429																																
2074102		1	1																																					5	2074104	207410201	1429																																
2074103		1	1																																					5	2074104	207410301	1429																																
2074104		1	1																																					5	2074105,2074106	207410401	1429																																
2074105		1	1																																					5		207410501	1429																																
2074106		1	1																																					5		207410601	1429																																
2074110	2	1	1	1	2074103	2																																		5		207411001	1429	20741																															
2074120	2	1	1	1	2074105	2																																		5		207412001	1429	20741																															
2074190	2	1	2	1	2074102	2				1	2074104	2																												5		207419001	1429	20741																															
2074201		1	1	1	2074202	2																																		5	2074202,2074203	207420101	1425	20742																															
2074202		1	1	1	2074202	2																																		5	2074204	207420201	1425	20742																															
2074203		1	1	1	2074202	2																																		5	2074204	207420301	1425	20742																															
2074204		1	1	1	2074202	2																																		5		207420401	1425	20742																															
2074205		1	1	1	2074204	2																																		5		207420501	1425	20742																															
2074206		1	1	1	2074203	2																																		5		207420601	1425	20742																															
2074207	2	1	1	1	2074206	2																																		5	2074202,2074203	207420701	1425	20742																															
2074301	2	1	1	42	2074301																																			5	2074302,2074304	207430101	1527																																
2074302		1	1																																					5		207430201	1527																																
2074304		1	1																																					5		207430401	1527																																
2074310	2	1	1	1	2074305	2																																		5		207431001	1527	20743																															
2074320	2	1		1	2074306	2																																		5		207432001	1527	20743																															
2200901	2			1	2200901	2																																		3		220090101	2211	22009																															
2200902	2			1	2200902	2																																		3		220090201	2211	22009																															
2200903	2			1	2200903	2																																		3		220090301	2211	22009																															
2211401	2			1	2211401	2																																		5		221140101	2017	22114																															
2211402	2			1	2211402	2																																		5		221140201	2012	22114																															
2211403	2			1	2211403	2																																		5		221140301	2017	22114																															
2211405	2			1	2211405	2																																		5		221140501	2017	22114																															
2211406	2			1	2211402	2																																		5		221140601	2017	22114																															
2211407	2		2	1	2211405	2				1	2211404	2				1	2211403	2																						5		221140701	2012	22114																															
2211408	2			1	2211404	2																																		5		221140801	2017	22114																															
2211409	2			1	2211405	3																																		6		221140901	2012																																
2211410	2			1	2211405	3																																		6		221141001	2017																																
2220001	2			1	2220001	2																																		3	2220002,2220004,2220006	222000101	2057	22200																															
2220002	2			1	2220002	2																																		7		222000201	2057	22200																															
2220003	2	1	1	1	2220003	2				19	2220001					1	2220002	3																						7		222000301	2057	22200																															
2220004	2			1	2220004	2																																		7		222000401	2057	22200																															
2220005	2	1	1	1	2220005	2				19	2220002					1	2220004	3																						7		222000501	2057	22200																															
2220006	2			1	2220006	2																																		7		222000601	2057	22200																															
2220007	2	1	1	1	2220007	2				19	2220003					1	2220006	3																						7		222000701	2057	22200																															
2220010	1			1	2220010	2																																		7		222001001	2057	22200																															
2220011	1			1	2220011	2																																		7		222001101	2057	22200																															
2220012	1			1	2220012	2																																		7		222001201	2057	22200																															
2220013	1			1	2220013	2																																		7		222001301	2057	22200																															
2250001	2			1	2250001	2																																		5		225000101	207401	22500																															
2250002	2		1	1	2250001	3				1	2250002	2																												5	2250003,2250009,2250004	225000201	2083	22500																															
2250003				3	202	3000																																		5		225000301	2083	22500																															
2250004																																								5		225000401	2083	22500																															
2250005	2		1	1	2250003	3				1	2250004	2																												5		225000501	2083	22500																															
2250006	2		2	1	2250008	3				1	2250004	3																												5		225000601	207401	22500																															
2250008	2			1	2250003	2																																		5		225000801	2083	22500																															
2250009				8	202	3000																																		5	2250003	225000901	2083	22500																															
2250010	2		4	1	2250002	3				1	2250005	2				1	2250006	2																						5		225001001	2083	22500																															
