图鉴ID	类型	物品ID	序号	名称$text_name_Title	描述$text_name_Desc	图标	已废弃	解锁才显示
40350010	2	104310	4610		岩之国土的追求是繁荣。繁荣是璃月的恩惠，是璃月的神与人共同建立的伟大城市，是璃月的大地安全和平的源泉。			
40350011	2	104311	4611		岩之国土的追求是繁荣。繁荣是璃月对它的子女的许诺：以繁荣回报勤劳者，以黄金照亮这片土地。			
40350012	2	104312	4612		岩之国土的追求是繁荣。繁荣是璃月的过去、现在与未来。在此世间一切国度都无法企及的繁荣，均归于璃月，以及璃月的子女。			
40350013	2	104313	4613		岩之国土的根基是勤劳。勤劳即为通过人的努力，克服高山与大海，追求繁荣与黄金的勇气与力量。			
40350014	2	104314	4614		岩之国土的根基是勤劳。勤劳是是流传在璃月人血脉中的催化剂，能将岩石化为黄金，是伟大商港之所以为伟大商港的原因。			
40350015	2	104315	4615		岩之国土的根基是勤劳。勤劳即为相信自己，即为相信通过汗水、智慧与力量，在诸神的土地上，人人都可以拥有自己的一席之地。			
40350016	2	104316	4616		岩之国土的象征是黄金。黄金是流淌在璃月土地深处的血液，是鼓动璃月的心脏有力搏动的肌肉，是让璃月傲然挺立的筋骨。			
40350017	2	104317	4617		岩之国土的象征是黄金。黄金意味着转换，这是璃月的岩山、大地、港城与人们的默契。在璃月，勤劳被转换为黄金，而黄金被转换为繁荣。			
40350018	2	104318	4618		岩之国土的象征是黄金。黄金是璃月的财富。但璃月真正的财富，是璃月的人们那如黄金般闪耀的心灵。			
40350019	2	104319	4628		远古时期，承载与传授智识所用的仪式器具。尽管如今，智慧居于言语及典籍中，但「智识之冕」中残存的力量与智慧仍能给如今的人们带来伟大的突破吧。			
40352001	2	107010	4701		某种浓郁的生命力与龙脊雪山的特殊能量结合产生的结晶。对于渴求生长的忍冬之树，是绝好的「养分」。\n在冻结龙脊雪山的「长钉」降下时，这棵树的茎干与树冠曾经被散落的碎片摧毁、冻结。直到很久以后，当漆黑的龙陨落在山谷之中，龙的血液渗入地脉；又在很久以后，有人消解了冰封的桎梏，让汲取了「绯红」的古树再度发出新芽…			1
40400001	3	220001	6001		与风之七天神像有着某种近似特性的人造石盘，能与风神瞳产生共鸣。神瞳共鸣石是对古代建立在大地各处的七天神像的拙劣仿造。有人认为，它寻找神瞳的力量源于自身的拙劣，这种拙劣驱使它渴求神像的力量，以替代真正的神像。			
40400002	3	220002	6002		在某种神秘性质上拟似岩之七天神像的精巧石盘，会将人引向岩神瞳所在之处。神瞳代表着神像佚失的力量。将其供奉归还的话，对神眷顾着的土地或许也有重要的意义。			
40400009	3	220009	6011		能寻找附近的宝箱的便利道具。寻宝罗盘的指针并不遵循大地的磁场转动，而是沿着地脉，寻找附近的财宝。听说也有冒险家反对使用这样的道具，因为「寻宝的价值在于过程，而非结果」这样的执着…			
40400003	3	220003	6012		能寻找附近的宝箱的便利道具。岩之国土物产丰富，山间与原野各处都藏着财宝。据说这样的神奇罗盘是所有盗宝团梦寐以求的珍宝。			
40400004	3	220004	6021		西风骑士团的学者设计了这种能善加利用风神恩惠的道具，让骑士团成员的侦察与旅行更加便利。但正统地使用风之翼需要「飞行执照」，所以反而从法规的层面上减少了它的使用率。			
40400005	3	220005	6031		模仿传送锚点创造的道具，一定程度上能与地脉相连，实现传送的功能。对神之眼持有者而言，应当是非常便利的小物件。但也有学者认为，传送锚点的运作原理还没有完全解明，这种拙劣的人造仿制品可能会带来未知的负面影响…？			
40400006	3	220006	6032		能在几乎任何地方快速架设烹饪的神奇锅炉。璃月的土地广袤、地形错综复杂；璃月人爱好美食。能同时体现这些特点的，恐怕就是这种便携烹饪用锅。利用这种装置，即使身处绝云间的高峰，或是在孤云阁的礁岛上，都能随时做出新鲜的菜肴。			
40400007	3	220007	6033		蕴含着充沛能量的晶体。银白的古树与花连接着地脉，而树脂蕴含的能量能疏通地脉的管道，提炼淤滞其中的物质。因为浓缩树脂特殊的性质，同时只能持有的数量很小。			
40400008	3	220008	6034		西风骑士团的某位炼金术士设计的特殊道具，能将大部分美食转化为能瞬间摄入的「营养物质」。尽管对这位炼金术士而言，这种做法无疑能大大提高营养补充的效率，但愿意使用它的骑士似乎不多…			
40400013	3	220017	6035		「温暖仙灵」是依据气候剧变而进化的形态，能为渴求温暖的人提供慰藉。而这种便利道具，则是曾在雪山挣扎求生的人，依据仙灵的变化创造出的模拟道具。			
40400015	3	220021	6036		从遗迹中发现的古代神秘仪器，具有加速循环，使物质发生「质变」的力量。普遍而言，地上地下的一切都在循环，记忆与元素在地脉中恒常奔涌，腐烂的日落果会回归尘泥，而泥土中生长出来的树木终有一天也会结出晶莹的果实吧…			
40400017	3	220023	6037		只是一个仍然好奇的纯水精灵，只想要看看世界。说不定和「迷你仙灵·露草」很合得来。不可以把它融合掉哦。			1
40400018	3	220024	6038		气球在风之国土有着特殊的意义，因为它的意象代表着随风而行的无拘无束。当然实际上气球上升至一定的高度之后就会因为气压破裂。			1
40400020	3	220026	6039					
40400010	3	220014	6041		水色的迷你仙灵。和其他的仙灵不同，似乎不想引导人，而是随着人去看看这个世界。			1
40400011	3	220015	6042		粉色的迷你仙灵。虽然不能说话，但会默默随着自己钟情的旅人走遍世界。			1
40400012	3	220016	6043		金色的迷你仙灵。散发着与摩拉近似的气息，传说这种颜色的仙灵象征着幸运。			1
40400014	3	220018	6051		来自枫丹的奇特道具，能将景象牢牢记录下来。对巡游世界的旅行者而言，值得纪念的景象、值得铭记于心的人物应当相当多吧。			
40400016	3	220020	6052		来自枫丹的奇特道具。与普通的留影机不同，将景象牢牢记录下来之余，还能在印出的画像上附带特殊的色彩。这种设计，是针对枫丹的通讯社「蒸汽鸟」希望留影机除了反映景象，也能反映拍摄者的情绪而做的。但最终产品没能实现「蒸汽鸟」的需求。			1
40400019	3	220025	6061		做工极为精致的乐器，在善于演奏的人手中，能奏响清澈动人的乐曲。\n蒙德有着诗与歌的传统，所以在此类乐器的研究上也有着悠久的历史。吟游诗人以自己的音乐、诗为傲，而乐器也会以自己的主人及诗歌的传统为豪吧。			1
40400021	3	220027	6071		以纯净的鸟羽和坚韧的布料所制作的「特殊的羽球」，是蒙德传统节日「羽球节」的核心。\n鸟是御风而行的生灵，鸟羽享有「乘风的祝福」。因此蒙德民众始终深信着，羽球不仅能带来巴巴托斯的护佑，还拥有奇妙的力量…			1
40400022	3	220028	6081		装有各式器具的工具箱，可以修理「浪船」所受的损伤。\n浪船对于居无定所的永恒旅人而言，是如同真正属于自己的「小屋」一般的存在。要好好珍惜爱护它。			1
