等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值	[曲线]10类型	[曲线]10运算	[曲线]10值
172	1	2	11525.906213	2	2	224.669232	12	2	2.72	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10766.351744	19	2	485.505057
173	1	2	11614.350044	2	2	225.076831	12	2	2.73	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10853.665676	19	2	489.146383
174	1	2	11703.29439	2	2	225.48474	12	2	2.74	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	10940.979608	19	2	492.78771
175	1	2	11792.740945	2	2	225.892958	12	2	2.75	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11028.29354	19	2	496.429036
176	1	2	11882.691328	2	2	226.301398	12	2	2.76	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11115.607472	19	2	500.070362
177	1	2	11973.147379	2	2	226.710103	12	2	2.77	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11202.921404	19	2	503.711689
178	1	2	12064.110792	2	2	227.119117	12	2	2.78	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11290.235336	19	2	507.353015
179	1	2	12155.58326	2	2	227.528397	12	2	2.79	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11377.549268	19	2	510.994342
180	1	2	12247.566475	2	2	227.937942	12	2	2.8	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11464.8632	19	2	514.635668
181	1	2	12340.062279	2	2	228.347753	12	2	2.81	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11552.177132	19	2	518.276994
182	1	2	12433.072217	2	2	228.757829	12	2	2.82	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11639.491064	19	2	521.918321
183	1	2	12526.598204	2	2	229.168215	12	2	2.83	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11726.804996	19	2	525.559647
184	1	2	12620.641784	2	2	229.578822	12	2	2.84	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11814.118928	19	2	529.200974
185	1	2	12715.2048	2	2	229.989738	12	2	2.85	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11901.43286	19	2	532.8423
186	1	2	12810.288943	2	2	230.40092	12	2	2.86	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	11988.746792	19	2	536.483626
187	1	2	12905.895907	2	2	230.812367	12	2	2.87	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12076.060724	19	2	540.124953
188	1	2	13002.027459	2	2	231.22408	12	2	2.88	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12163.374656	19	2	543.766279
189	1	2	13098.685292	2	2	231.636102	12	2	2.89	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12250.688588	19	2	547.407606
190	1	2	13195.871098	2	2	232.048346	12	2	2.9	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12338.00252	19	2	551.048932
191	1	2	13293.586646	2	2	232.460899	12	2	2.91	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12425.316452	19	2	554.690258
192	1	2	13391.833628	2	2	232.873717	12	2	2.92	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12512.630384	19	2	558.331585
193	1	2	13490.613737	2	2	233.286801	12	2	2.93	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12599.944316	19	2	561.972911
194	1	2	13589.92874	2	2	233.700195	12	2	2.94	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12687.258248	19	2	565.614238
195	1	2	13689.780403	2	2	234.113809	12	2	2.95	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12774.57218	19	2	569.255564
196	1	2	13790.170347	2	2	234.527689	12	2	2.96	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12861.886112	19	2	572.89689
197	1	2	13891.100339	2	2	234.941879	12	2	2.97	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	12949.200044	19	2	576.538217
198	1	2	13992.572144	2	2	235.356334	12	2	2.98	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	13036.513976	19	2	580.179543
199	1	2	14094.587382	2	2	235.771054	12	2	2.99	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	13123.827908	19	2	583.82087
200	1	2	14197.147895	2	2	236.18604	12	2	3	4	1	0	9	1	0	10	1	0	11	2	2	14	2	1	18	2	13211.14184	19	2	587.462196
