子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID
1050202	10502	2					1	1050201	3																																			2	1050201																																																												2		10095					3	2	2				1																																																																																													10095,10090		1100				
1050203	10502	3					1	1050202	3																																			20			133001363	1																																																									2		10090					3	2	2				1			19	3	133001363,1																																																										19	3	133001363,2																												10095,10090,10111		1100				
1050204	10502	4					1	1050203	3																																			2	1050202																																																												2		10090					3	2	2				1																																																																																													10095,10090,10111		1100				
1050205	10502	5					1	1050204	3																																			20			133001364	1																																																									1		Q10502Fengqidi	30				3	2	2				1			19	3	133001364,1																																																										19	3	133001364,2																												10095,10090		1100				
1050206	10502	6					1	1050205	3																																			2	1050203																																																												2		10090					3	2	2				1																																																																																													10095,10090		1100				
1050207	10502	7					1	1050206	3																																			2	1050204																																																												2		10095					3	2	2				1			19	3	133003510,1																																																																																								10095,10090		1100				
1050208	10502	10					1	1050207	3																																			2	1050205																																																												2		1512					3	2	2				1																																																																																													10095		1100				
1050209	10502	11					1	1050208	3																																			20			13300428801	1																																																									1		Q10502MagicLabor					3	2	2				1																																																															19	3	133004288,2																												10095		1100				
1050210	10502	12			1		1	1050209	3																																			4	1050210																																																																												15	3	133004288																																																																																														
1050211	10502	13					1	1050209	3																																			2	1050206																																																												2		10095					3	2	2		1																																																																																															10095		1100				
1050212	10502	8			1		1	1050206	3																																			4	1050212																																																																												19	3	133003510,3																																																										19	3	133003510,1																																		
1050213	10502	9			1		1	1050206	3																																			4	1050213																																																																												15	3	133003510																																																																																														
1050301	10503	1			1		1	1050211	3																																		2	2	1050301				18	1		0,24																																																					2		10099					3	2	2		1		1			19	3	133004288,4																																																										19	3	133004288,3																																		
1100801	11008	1				1	17	35					44	10006	1																													2	1100801																																																												2		2093					3	2	2				1																																																																																													1030,2093		1100				
1100802	11008	2					1	1100801	3																																			2	1100802																																																												2		10014					3	2	2				1																																																															46	3	133107069																												1030,2093,10014		1100				
1100803	11008	3			1		1	99902	3																																			2	1100803																																																												2		1030					3	2	2				1																																																															46	3	133107069																																		
1100804	11008	4					1	1100802	3																																			2	1100804																																																												2		10015					3	2	2				1																																																															46	3	133107069																												1030,10015,10014		1100				
1100805	11008	5					1	1100804	3																																			2	1100805																																																												2		10014					3	2	2				1																																																															46	3	133107069																												1030,10015,10014		1100				
1100806	11008	8					1	1100812	3																																			2	1100806																																																												2		2054					3	2	2				1																																																															54	133107042					46	3	133107069																						1030,10015,2054,2026,10014		1100				
1100807	11008	13					1	1100814	3																																			2	1100807																																																												2		2020					3	2	2				1	100838	1																																																													54	133107042					46	3	133107069																						1030,10015,2020,10014		1100				
1100808	11008	11			1		1	1100813	3																																			2	1100815																																																																						1						15	3	133107042																																																										46	3	133107069																												1030,10015,2054,10014		1100				
1100809	11008	14					1	1100807	3																																			2	1100809																																																												2		10234					3	2	2				1	100839	1																																																													47	133107042	0				46	3	133107069																						1030,10015,10234,2103,10014		1100				
1100810	11008	15					1	1100809	3																																			2	1100810																																																												2		10014					3	2	2				1	100835	1	29	100836,100837,100838,100839																																																											46	3	133107069																												1030,2093,10014,10015,10234		1100				
1100811	11008	16					1	1100810	3																																			2	1100811																																																												2		2093					3	2	2		1		1			29	100835																																																											47	133107069	0																												1030,2093,10014,10015		1100				
1100812	11008	7			1		1	1100816	3																																			2	1100812																																																																																																																																								54	133107042					46	3	133107069																						1030,10015,10014,2026		1100				
1100813	11008	9					1	1100806	3																																			25	70710359			1																																																									1		Q1100813Target					3	2	2	1			1																																																															54	133107042					46	3	133107069																						1030,10015,2054,10014		1100				
1100814	11008	12					1	1100815	3																																			2	1100814																																																												2		2054	SELECT_NPC_NONE				3	2	2				1	100837	1																																																													54	133107042					46	3	133107069																						1030,10015,2054,10014		1100				
1100815	11008	10			1		1	1100813	3																																			2	1100815																																																																										100836	1																																																													54	133107042					46	3	133107069																						1030,10015,2054,10014		1100				
1100816	11008	6					1	1100805	3																																			4	1100816																																																												1		Q1100812Yanfei					3	4					1																																																															54	133107042					46	3	133107069																						1030,10015,10014,2026		1100				
1101001	11010	1				1	1	102510	3				47	7					1	1200309	3																							2	1101001																																																												2		10304					3	2	2				1																																																															19	3	133106906,2																												10304		1100				
1101002	11010	2		1			1	1101001	3																																		2	20			13310690201	1	4	1101002																									24	1101002																													1		Q11010Footprint	30				3	2	2				1																																																															19	3	133106902,2				19	3	133106143,2				19	3	133106094,2																10304		1100				
1101003	11010	6		1		2	1	1101008	3				1	1101010	3																												2	20			13310690204	1	4	1101003																																																							1		Q11010Guardian	50				3	2	2				1																																																															19	3	133106143,2				19	3	133106094,2																						10304		1100				
1101004	11010	8					1	1101009	3																																			2	1101002																																																												1		Q11010TokSearch	40				3	2	2				1	100554	5000	19	3	133106143,1				19	3	133106094,1																																																				19	3	133106095,2				19	3	133106087,2																						10304,10265		1100				
1101005	11010	9					1	1101004	3																																			17	1033																																																												2		10200					1033	2	2				1			19	3	133106095,1				19	3	133106087,1																																																																																								
1101006	11010	10					1	1101005	3																																			2	1101003																																																												2		10200					1033	2	2		1		1	100555	35000	1	100554	5000																																																																																								10200,10265,2145		1100				
1101007	11010	3		1			1	1101002	3																																		2	20			13310690202	1	4	1101007																									24	1101007																													1		Q11010Footprint2	30				3	2	2				1																																																															19	3	133106143,2				19	3	133106094,2																						10304		1100				
1101008	11010	4		1			1	1101007	3																																		2	20			13310690203	1	4	1101008																									24	1101008																													1		Q11010Footprint3	30				3	2	2				1																																																															19	3	133106143,2				19	3	133106094,2																						10304		1100				
1101009	11010	7					1	1101003	3																																			2	1101005																																																												2		1005					3	2	2				1																																																															19	3	133106143,2				19	3	133106094,2																						10304		1100				
1101010	11010	5		1	1		1	1101001	3																																			20			13310690204	1																																																																									23	1101002	1				23	1101007	1				23	1101008	1																																																																																		
1101101	11011	2					1	1101006	3																																		2	20			13310792102	1	4	1101101																																																							1		Q1101101Player					3	4	2				1			19	3	133107921,1																																																										19	3	133107921,3																												10265,2092		1100				
1101102	11011	9					1	1101123	3																																		2	20			13310792001	1																																																									1		Q11011Pier					3	4	2				1			19	3	133107920,1																																																										19	3	133107920,2																												10265,2077		1100				
1101103	11011	16					1	1101120	3																																			2	1101111																																																												2		10265					3	2	2				1																																																																																													10265,2077		1100				
1101104	11011	5				2	1	1101125	3				1	1101121	3																												2	20			13310792101	1	4	1101104																																																							1		Q11011Wanmintang					3	4	2				1			19	3	133107921,1																																																										19	3	133107921,2																												10265,2092,2045		1100				
1101105	11011	6		1			1	1101104	3																																			124	5																														125	5																													2		10265					3	2	2							42	5																													42	5																													41	5																													10265,2045		1100				
1101106	11011	17					1	1101103	3																																		2	20			13310690301	1	4	1101106																																																							2		10200					3	2	2				1																																																															19	3	133106903,2																												10265,10200,10274,10288,10289		1100				
1101107	11011	18		1			1	1101106	3																																			2	1101104																																																												2		10200					3	2	2							12	21																																																											19	3	133106908,1																												10200,10265,10274,10288,10289		1100				
1101108	11011	22					1	1101119	3																																		2	20			13310690401	1	4	1101108																																																							1		Q11011Fight	25				3	2	2				1																																																															19	3	133106904,2				19	3	133106113,2				19	3	133106050,3																10200,10265,10275,10324,10325,10326,10327,10328,10332		1100				
1101109	11011	23		1			1	1101108	3																																			2	1101105																																																												2		10265					3	2	2				1			12	21																																																																																									10200,10265,10275,10324,10325,10326,10327,10328,10332		1100				
1101110	11011	24		1			1	1101109	3																																			20			13310690402	1																											8	1101110																													1		Q11011Fight	50				3	2	2				1			19	3	133106904,1				20	21																							14	1101108					19	3	133106904,1				20	21																	19	3	133106904,3																												10200,10265,10275,10324,10325,10326,10327,10328,10332		1100	21			
1101111	11011	25		1	1		1	1101110	3																																			2	1101106																																																												2		10200					3	2	2		1		1			19	3	133106113,1				19	3	133106050,1																																																																																		10200,10265,10275,10324,10325,10326,10327,10328,10332		1100				
1101112	11011	1			1		1	1101006	3																																			10	3																																																																									1																																																																																																			
1101113	11011	10		1			1	1101102	3																																			2	1101102																																																												2		10265					3	2	2				1																																																																																													10265,2077		1100				
1101114	11011	13		1	1		1	1101117	3																																			4	1101114																														8	1101114																													2		10265					3	2	2				1																																	14	1101102																																																											10265,2034,2077		1100				
1101115	11011	14		1			1	1101114	3																																			2	1101109																																																												2		10265					3	2	2				1																																																																																													10265,2034,2077		1100				
1101116	11011	11		1	1		1	1101113	3																																			4	1101116																														8	1101116																													2		10265					3	2	2				1																																	14	1101102																																																											10265,2077		1100				
1101117	11011	12		1			1	1101116	3																																			2	1101110																																																												2		10265					3	2	2				1																																																																																													10265,2077		1100				
1101118	11011	19		1			1	1101107	3																																			20			13310690801	1																										2	20			13310690802	1	8	1101118																																					1			19	3	133106903,1				20	21																							20	21																													19	3	133106903,3				15	3	133106908																						10200,10265,10274,10288,10289		1100	21			
1101119	11011	21					1	1101118	3																																			2	1101107		13310690401	1																																																									2		10274					3	2	2				1			19	3	133106908,4																																																																																								10200,10265,10272,10274,10288,10289		1100				
1101120	11011	15		1	1		1	1101115	3																																			4	1101120																														8	1101120																													2		10265					3	2	2				1																																	14	1101102																																																											10265,2077		1100				
1101121	11011	4		1			1	1101125	4																																		2	2	1101116				2	1101122																																																							2		209201					3	2	2							1	100555	14000																																																																																								10265,2092		1100				
1101122	11011	7		1			1	1101105	4																																		2	2	1101121				2	1101123																																																							2		204501					3	2	2							1	100555	11000																																																																																								10265,2045		1100				
1101123	11011	8		1	1	2	1	1101105	3				1	1101122	3																													2	1101124																																																																									1																																																																																													10265,2045		1100				
1101124	11011	20		1			1	1101118	4																																			2	1101128																																																												2		10274					3	2	2				1			14	1101118					12	21																																																					19	3	133106908,1																												10200,10265,10274,10288,10289		1100				
1101125	11011	3		1			1	1101101	3																																			124	4																														125	4																													2		10265					3	2	2							42	4																													42	4																													41	4																													10265,2092		1100				
1101201	11012	1					1	1101111	3																																		2	20			13310690501	1	4	1101201																																																							1		Q11012DungeonEntry					3	4	2				1			19	3	133106905,3																																																										19	3	133106905,2																												10200,10265		1100				
1101202	11012	2		1			1	1101201	3																																			2	1101201																																																												2		10200					3	2	2				1																																																																																													10200,10265		1100				
1101203	11012	6		1			1	1101211	3																																			2	1101210																													2	19	1106				10	3																								2		10265					1055	2	2				1																																	14	1101211																																																											10200,10265		1100	21			
1101204	11012	14		1			1	1101203	3																																			20			20105500501	1																										2	19	1106				10	3																																					1																																	14	1101211																																																											10200,10265		1100	21			
1101205	11012	16		1			1	1101209	3																																			2	1101202																													2	19	1106				10	3																								1		Q11012Guardian	30				1055	2	2				1	100625	1																															14	1101211					29	100625																																																					10200,10265		1100				
1101206	11012	19					1	1101208	3																																			17	1033																																																												2		2067					1033	2	2				1			19	3	133107924,1																																																										19	3	133107924,2																												10200,10265,2067		1100				
1101207	11012	20					1	1101206	3																																			2	1101204																																																												2		2067					1033	2	2				1																																																																																													10200,10265,2067		1100				
1101208	11012	18		1			1	1101205	3																																			2	1101203																													2	19	1106				10	3																								2		10265					1055	2	2				1			17	3	193				29	100625					15	1055	201055005																14	1101211					29	100625																																																					10200,10265		1100				
1101209	11012	15			1		1	1101204	3																																			2	1101207																													2	19	1106				10	3																																					1			20	21																													14	1101211																																																											10200,10265		1100	21			
1101210	11012	10			1		1	1101217	3																																			2	1101206																																																																									1			15	1055	201055003																																																																																														
1101211	11012	3					1	1101202	3																																			9	1106	193																																																											1		Q11012DungeonEntry					3	4	2				1			12	21					19	3	133106905,1																																																				2	3	193																												10200,10265		1100				
1101212	11012	5			1		1	1101211	3																																			24	1101212			1																																																																						1																																																																																																			
1101213	11012	8			1		1	1101216	3																																			2	1101209																																																																									1																																																																																																			
1101214	11012	13			1		1	1101219	3																																			2	1101210																																																																									1																																																																																																			
1101215	11012	21					1	1101207	3																																			2	1101211																																																												2		10200					1033	2	2		1		1			19	3	133106906,1				19	3	133106902,1																																																																																		10200		1100				
1101216	11012	7			1		1	1101212	3																																			20			20105500201	1																																																																						1																																																																																																			
1101217	11012	9			1		1	1101213	3																																		2	20			20105500301	1	4	1101217																																																																				1																																																																																																			
1101218	11012	11			1		1	1101210	3																																			20			20105500401	1																																																																						1																																																																																																			
1101219	11012	12			1		1	1101218	3																																			4	1101219																																																																									1																																																																																																21			
1101220	11012	17			1		1	1101209	3																																			2	1101203																																																																									1																																																																																																			
1101221	11012	4			1		1	1101211	3																																			4	1101221																																																																												15	1055	201055001				23	1101212	1																																																																																								
1102001	11020	1				1	44	10006	1				47	6																														4	1102001																																																												1		Q11020ZL1	25				3	4	2				1																																																																																													10308,10309,10302,10303,10232		1010				
1102002	11020	2					1	1102001	3																																			2	1102002																																																												2		10232					3	2	2				1																																																																																													10308,10309,10302,10303,10232		1010				
1102003	11020	3					1	1102002	3																																			2	1102003																																																												2		10303					3	2	2		1		1																																																																																													10308,10309,10302,10303,10232		1010				
1102101	11021	1					1	1102003	3																																			4	1102101																																																												1		Q11021ZL1					3	4	2				1																																																																																													10232,10303,10302		1010				
1102102	11021	2					1	1102101	3																																			2	1102102																																																												2		10232					3	2	2				1																																																																																													10232,10303,10302		1010				
1102103	11021	5			1		1	99902	3																																			25	71700097																																																												1		Q11021Gadget1	15				3	2	2				1																																																																																													10232,10303,10302		1010				
1102104	11021	6					1	1102108	3																																			20			13310890201																																																										1		Q11021Mark2	30				3	2	2				1	100628,100624	1,1	47	133108901																																																											46	3	133108902				19	3	133108905,2																						10232,10303,10302		1010				
1102105	11021	8					1	1102109	3																																			20			13310890301																																																										1		Q11021Gadget3	20				3	2	2					100629	1	47	133108902																																																											46	3	133108903																												10232,10303,10302		1010				
1102106	11021	9					1	1102105	3																																			2	1102106																																																												2		10302					3	2	2		1		1			18	100627:1,100628:1,100629:1					47	133108903																																																																																			10232,10303,10302		1010				
1102107	11021	3					1	1102102	3																																			4	1102107																																																												1		Q11021Mark1	55				3	2	2				1																																																															46	3	133108901																												10232,10303,10302		1010				
1102108	11021	4					1	1102107	3																																			20			13310890102	1																																																									1		Q11021Battle1	40				3	2	2					100627	1																																																																																											10232,10303,10302		1010				
1102109	11021	7					1	1102104	3																																			4	1102109																																																												1		Q11021Mark3	30				3	2	2				1																																																															47	133108903																													10232,10303,10302		1010				
1102201	11022	1					1	1102106	3																																			4	1102201																																																												1		Q11022Gad1					3	4	2				1																																																																																													10232,10303,10302		1010				
1102202	11022	2					1	1102201	3																																			2	1102202																																																												2		10232					3	2	2				1																																																																																													10232,10303,10302		1010				
1102203	11022	4		1			1	1102208	3																																			4	1102203																																																												1		Q11022Gad2	20				3	2	2																																																																																																	10232,10303,10302		1010				
1102204	11022	7		1			1	1102207	3																																			20			13310279501	1																																																									1		Q11022Gad3	30				3	2	2				1			47	133102795	1																																																										46	3	133102795																												10232,10303,10302		1010				
1102205	11022	8			1		1	1102204	3																																			18			0,24																																																										1		Q11022ZL3	15				3	2	2				1			19	3	133002907,2																																																																																								10232,10303,10302		1010				
1102206	11022	9					1	1102205	3																																			2	1102206																																																												1		Q11022ZL3					3	4	2		1		1			47	133102795																																																																																									10232,10303,10302		1010				
1102207	11022	5		1			1	1102203	3																																			2	1102207																																																												1		Q1102207ZL					3	4	2				1			19	3	133002910,1																																																										47	133102795																													10232,10303,10302		1010				
1102208	11022	3		1			1	1102202	3																																			4	1102208																																																												1		Q11022Gad2	20				3	2	2				1																																																																																													10232,10303,10302		1010				
1102209	11022	6			1		1	1102203	3																																			4	1102209																																																																												46	3	133102795																																																																																								10232,10303,10302		1010				
1102301	11023	2		1			1	1102314	3																																			9	1107	202																																																											1		Q11023Gad1					3	4	2				1																																																															43	20002	0																												10232,10303,10302		1010				
1102302	11023	3		1			1	1102301	3																																			4	1102302																													2	19	1107				10	3																								1		SaltBowl	15				1056	2	2				1																																	20	17					14	1102301																							12	17																													10232,10303,10302		1010	17			
1102303	11023	4		1	1		1	1102302	3																																			2	1102303																													2	19	1107				10	3																								1		SaltBowl	15				1056	2	2				1			15	1056	201056001																												20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102304	11023	5		1			1	1102303	3																																			4	1102304																													2	19	1107				10	3																								1		SaltRuler	15				1056	2	2				1																																	20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102305	11023	6		1	1		1	1102304	3																																			2	1102305																													2	19	1107				10	3																								1		SaltRuler	15				1056	2	2				1			15	1056	201056002																												20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102306	11023	7		1			1	1102305	3																																			20			1102306	1																										2	19	1107				10	3																								1		SaltRuler	15				1056	2	2				1																																	20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102307	11023	8		1			1	1102306	3																																			2	1102307																													2	19	1107				10	3																								1		SaltRuler	15				1056	2	2				1			15	1056	201056002				43	20002	1																						20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102308	11023	9		1	1		1	99902	3																																			4	1102308																													2	19	1107				10	3																								1		BrokenBlade	15				1056	2	2				1																																	20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102309	11023	11		1			1	1102312	3																																			2	1102309																													2	19	1107				10	3																								1		BrokenBlade	15				1056	2	2				1			15	1056	201056003																												20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102310	11023	13		1			1	1102313	3																																			4	1102310																													2	19	1107				10	3																								1		EndRoom	15				1056	2	2				1			15	1056	201056004																												20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102311	11023	14		1			1	1102310	3																																			2	1102311																													2	19	1107				10	3																								1		EndRoom	15				1056	2	2		1		1			20	17					15	1056	201056004				17	3	202				19	3	133002403,1										20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102312	11023	10		1			1	1102307	3																																			20			1102312	1																										2	19	1107				10	3																																					1																																	20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102313	11023	12		1	1		1	1102309	3																																			4	1102313																													2	19	1107				10	3																																					1			15	1056	201056003																												20	17					14	1102301																																																					10232,10303,10302		1010	17			
1102314	11023	1					1	1102206	3																																			4	1102314																																																												1		Q11023PointG					3	4	2				1																																																															19	3	133002403,2				2	3	202																						10232,10303,10302		1010				
1102401	11024	1					1	1102311	3																																			2	1102401																																																												2		10232					3	2	2				1																																																																																													10232		1010				
1102402	11024	2		1			1	1102401	3																																			4	1102402																																																																							1		1																																																																																													10232		1010				
1102501	11025	1			1		1	99902	3																																			4	1102501																																																																						1			1																																																																																																			
1102502	11025	2			1		1	1102402	3																																			4	1102502																																																																							1		1																																																																																																			
1103001	11030	1				1	17	40					44	10006	1				47	8																								2	1103001																																																												2		214001					3	1	2				1																																																																																													2140,2142,2143		1100				
1103002	11030	2					1	1103001	3																																			20			1331012131	1																																																									1		Q11030GanyuV2Born	50				3	2	2				1																																																															46	3	133101213																												1015		1100				
1103003	11030	3					1	1103002	3																																			2	1103002																																																												2		1015					3	2	2																																																																																																	1015,10258		1100				
1103004	11030	4					1	1103003	3																																			2	1103003																																																												2		1015					3	2	2				1			15	3	133103571				12	23																																																					46	3	133103571																												1015,10258		1100				
1103005	11030	6		1			1	1103004	3																																			20			1331035711	1																										2	20			1331035712	1	129					21																											3	2	2	1						20	23					47	133101213																							47	133103571					20	23					14	1103004																																															1015,10258		1100	23			
1103006	11030	7					1	1103005	3																																			2	1103004																																																												2		1015					3	2	2				1			47	133103571																																																																																									1015,10258		1100				
1103007	11030	8					1	1103006	3																																			2	1103005																																																												2		10204					3	2	2				1			12	23																																																											47	133103572																													10204,10258,1015		1100			310301	
1103008	11030	9		1			1	1103007	3																																			20			1331035721	1																										2	8	1103008				21					129																				1		Q11030Xiao1					3	2	2	1						20	23																													14	1103007					20	23																							46	3	133103572																												1015,10204,10258		1100	23		310301	
1103009	11030	10					1	1103008	3																																			2	1103006																																																												2		10204					3	2	2		1		1			47	133101213					47	133103571					47	133103572																																																																													10204,1015,10258		1100			310301	
1103010	11030	5		1	1		1	1103004	3																																			4	1103010																																																																			3	2	2							15	3	133103571																																																																																								1015,10258		1100	23			
1103011	11030	81			1		1	1103006	3																																			20			1331035723	1																											20			1331035721	1																																	3	3	2																																																																																																			1100				
1103012	11030	82					1	99902	3																																																																																																							3	2	2				1																																																																																															1100				
1103101	11031	1					1	1103009	3																																			20			1331071281	1																																																									1		Q11031GanyuStart					3	4	2				1																																																															19	3	133107128,2																												1015		1100				
1103102	11031	2					1	1103101	3																																			2	1103101																																																												2		1015					3	4	2	1			1																																																																																													1015		1100				
1103103	11031	3					1	1103102	3																																			20			1331071291	1																																																									1		Q11031PortChara	15				3	2	2				1																																																															19	3	133107129,2																												1015		1100				
1103104	11031	4					1	1103103	3																																			2	1103102																																																												2		1015					3	2	2							43	20014	1																																																																																								1015,2003		1100				
1103105	11031	5					1	1103104	3																																			2	1103103																																																												2		202901					3	2	2				1																																																																																													2029,2003,1015		1100				
1103106	11031	6					1	1103105	3																																			2	1103104																																																												2		201301					3	2	2				1																																																																																													2013,2003,1015,2029		1100				
1103107	11031	7		1			1	1103106	3																																			2	1103105																																																												2		231002					3	2	2				1																																																																																													2310,2003,1015		1100				
1103108	11031	9		1			1	1103107	3																																			20			1331020151	1																																																									1		Q11031YurenzhongV2	30				3	2	2				1																																																															19	3	133102015,2																												2003,1015,2310		1100				
1103109	11031	10					1	1103108	3																																			2	1103107																																																												2		10324					3	2	2	1			1																																																															19	3	133102015,1																												2003,1015,2310		1100				
1103110	11031	11					1	1103109	3																																			20			1331020091	1																																																									1		Q11031WareHouse	30				3	2	2				1																																																															19	3	133102009,2																												2003,1015,2310		1100				
1103111	11031	12					1	1103110	3																																			20			1331020092	1																																																									1		Q11031WareHouse	50				3	2	2				1	100699	1																																																													19	3	133102009,3				29	100699																							2003,1015		1100				
1103112	11031	8		1	1		1	1103106	3																																			4	1103112																														2	1103105																													2		231002					3	2	2							19	3	133102015,2				19	3	133102089,2																																																																																		2310,2003,1015		1100				
1103113	11031	13					1	1103111	3																																			2	1103108																																																												2		202901					3	2	2				1			19	3	133102015,1				19	3	133102009,1				19	3	133102089,1																																																																												2003,1015,2029		1100				
1103114	11031	14					1	1103113	3																																			2	1103109																																																												2		2454					3	2	2		1		1			29	100699																																																																																									2454,2003,1015,2029,2047		1100				
1103115	11031	15					1	99902	3																																																																																																2		2454					3	2	2		1		1																																																																																															1100				
1103201	11032	1					1	1103114	3																																			17	1035																																																												1		Q11032XinyuexuanEntrance					3	2	2				1																																																																																													1015,2029,2147,2063		1100				
